SR.No,Country/other,Total_cases,Total_deaths,Total_recovered,Active_cases,Serious_cases,Total_tests,Population
105,Brunei,310106,225,243601,66280,3,717784,445431
106,Montenegro,292026,2828,288700,498,6,2764972,627950
107,Algeria,271852,6881,183061,81910,0,230960,45350148
108,Nigeria,266675,3155,259953,3567,11,5708974,216746934
109,Zimbabwe,265693,5712,258888,1093,12,2525756,15331428
110,Uzbekistan,253662,1637,241486,10539,23,1377915,34382084
111,Mozambique,233417,2243,228805,2369,11,1371127,33089461
112,Martinique,230354,1102,0,0,12,828928,374087
113,Afghanistan,224608,7940,204616,12052,45,1289183,40754388
114,Laos,218776,758,0,0,0,1233207,7481023
115,Iceland,209191,229,0,0,2,1996384,345393
116,Kyrgyzstan,206897,2991,196406,7500,131,1907195,6728271
117,Guadeloupe,203235,1021,0,0,19,938039,399794
118,El Salvador,201785,4230,179410,18145,8,2610114,6550389
119,Trinidad and Tobago,191496,4390,187078,28,8,913289,1406585
120,Maldives,186687,316,163687,22684,25,2213831,540985
121,Namibia,171998,4098,167099,801,0,1062663,2633874
122,Ghana,171740,1462,170255,23,2,2538052,32395450
123,Uganda,171729,3632,100431,67666,3,3012408,48432863
124,Jamaica,155860,3596,103032,49232,0,1183986,2985094
125,Cambodia,138940,3056,135882,2,0,3091420,17168639
126,Rwanda,133194,1468,131647,79,0,6021981,13600464
127,Cameroon,125090,1974,122807,309,13,1751774,27911548
128,Malta,119585,853,118026,706,4,2146367,444033
129,Barbados,109503,620,108647,236,0,801451,288023
130,Angola,105384,1934,103419,31,0,1499795,35027343
131,Channel Islands,101717,228,101321,168,0,1252808,176463
132,French Guiana,98041,420,11254,86367,6,651257,314169
133,DRC,97697,1468,84489,11740,0,846704,95240792
134,Senegal,89014,1971,87024,19,0,1146543,17653671
135,Malawi,88835,2686,85651,498,67,624784,20180839
136,Ivory Coast,88338,835,87497,6,0,1690934,27742298
137,Suriname,82588,1408,0,0,0,242207,596831
138,New Caledonia,79922,314,79605,3,9,98964,290915
139,French Polynesia,78617,649,0,0,7,0,284164
140,Eswatini,74882,1427,73116,339,0,1048704,1184817
141,Guyana,73385,1299,72013,73,0,733218,794045
142,Belize,70782,688,70085,9,6,576016,412190
143,Fiji,69117,885,67226,1006,0,672883,909466
144,Madagascar,68289,1425,66862,2,0,531329,29178077
