date,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY
2007-06-01,2561.0,1556.5427997824,2131.4809759543,2562.8328816826,3351.266275213,5547.212544794,0.008664828672705793,-0.00862449932975462,0.02268845650641005,0.0017121091334959537,0.027875941525570047,0.013279911721336024,,,,,,
2007-07-01,2613.0,1599.422459206,2163.2694992228,2641.2259180893,3400.5191625215,5536.978536761,0.020304568527918843,0.027548011805132777,0.014913819840342457,0.030588430859850746,0.014696799139116479,-0.0018448919976221667,,,,,,
2007-08-01,2654.0,1638.9574985838,2210.6270547172,2660.3509688214,3467.5212491657,5568.6342227959,0.01569077688480669,0.024718322010700344,0.021891657748336124,0.007240974958300894,0.01970348745058015,0.005717140824139433,,,,,,
2007-09-01,2666.0,1646.9000564179,2219.718731087,2687.9163080074,3464.847109901,5561.39931949,0.0045214770158250595,0.004846103599979168,0.004112713788786637,0.010361542333721552,-0.0007711962155512175,-0.001299224013723732,,,,,,
2007-10-01,2663.0,1648.9712085614,2235.0978818598,2723.340073435,3404.3353273375,5493.1410343264,-0.0011252813203300738,0.0012576064560985145,0.006928423208497625,0.013178894492388515,-0.017464488516847898,-0.012273581025622149,,,,,,
2007-11-01,2688.0,1652.3953835139,2258.3717679678,2751.2794242227,3432.653140307,5571.0547296783,0.009387908374014264,0.0020765522980157325,0.010412915826591984,0.010259222144247238,0.008318162062973533,0.014183814845645015,,,,,,
2007-12-01,2690.0,1657.898019021,2267.7486263966,2720.6922922392,3424.5333641353,5607.9018520064,0.0007440476190476719,0.0033300961513207383,0.004152043769674485,-0.011117421122044613,-0.002365451981254818,0.006614029858979409,,,,,,
2008-01-01,2684.0,1669.3878472272,2225.7288543975,2740.7864152541,3420.5698785292,5571.7446703995,-0.0022304832713754275,0.006930358848600715,-0.018529290023589717,0.007385665432367627,-0.001157379760877486,-0.006447541801032686,0.05835962145110418,0.0694818495902767,0.039875444522047054,0.04966770218355099,0.0658070050497801,0.04351756106306204
2008-02-01,2673.0,1656.7989124239,2189.3168398332,2722.5117464936,3449.9704025484,5572.0286977847,-0.004098360655737654,-0.007541048549149165,-0.01635959137266818,-0.006667673430804544,0.008595212219971282,5.097638208528821e-05,0.09414654113794518,0.08061616476452382,0.04500256364052868,0.10034003039730988,0.12028361646061825,0.13021506139727235
2008-03-01,2681.0,1650.2327873058,2210.2374411345,2724.8028339199,3480.1548072836,5567.8476946439,0.002992891881780757,-0.003963139442488939,0.009555766858712733,0.0008415344504024702,0.008749177880744474,-0.0007503556366216246,0.08895207148659634,0.07535444366940935,0.08240128625313092,0.09834972496968453,0.10108169345680662,0.07478078058697046
2008-04-01,2679.0,1653.4646293252,2204.8994049882,2719.6006969726,3457.2488018739,5589.0988109913,-0.0007459903021260761,0.0019584158333663115,-0.002415141489757855,-0.0019091792193332013,-0.006581892668038769,0.003816756045220693,0.07031562125449464,0.05965688027755278,0.06953818016971036,0.05643100413794122,0.09844166385452979,0.06024248381264252
2008-05-01,2681.0,1656.3554178029,2207.4562647893,2720.128424981,3456.6208190909,5589.2536880854,0.0007465472191117151,0.0017483219334906153,0.0011596265096338598,0.0001940461366212176,-0.00018164234597739526,2.7710566468552855e-05,0.05592753052382826,0.05494701581079564,0.05914153854084292,0.06319284459654795,0.06018951857059629,0.02095934452095949
2008-06-01,2682.0,1659.5712410576,2206.0255186992,2717.5257663056,3446.5329698753,5598.3721750044,0.000372995151062927,0.0019415055610261245,-0.0006481424402021707,-0.0009568146310658943,-0.0029184136020604656,0.0016314319277432876,0.04724716907458015,0.06619056108807486,0.034973121311357325,0.060360113891405165,0.028427074078512193,0.009222583378099003
2008-07-01,2682.0,1665.2087906978,2198.0395443963,2732.184189832,3444.6867995129,5575.5224062565,0.0,0.0033969916450271587,-0.003620073401330859,0.005394032950174266,-0.0005356601484843848,-0.004081502271306436,0.02640642939150406,0.041131304061128526,0.016072914255940818,0.03443789912848505,0.01298849819115544,0.006961173723105452
2008-08-01,2681.0,1654.1210135611,2200.913957681,2724.2293236916,3455.9877897612,5594.5218711057,-0.00037285607755410677,-0.006658490634110614,0.0013077168206678813,-0.002911540945886637,0.0032807018187830383,0.003407656442718121,0.010173323285606717,0.009251926905000651,-0.0043938198510117266,0.02401125100365964,-0.0033261395030455,0.004648832599531305
