date,sales,MoM,YoY
2008-08-01,682946.0,-0.034675283189017914,-0.21460016192246123
2008-09-01,688139.0,0.007603822264132143,-0.16119481216021847
2008-10-01,670838.0,-0.02514172282053484,-0.15491151512708368
2008-11-01,643413.0,-0.04088170318318285,-0.2025707093804494
2008-12-01,670465.0,0.04204453438149369,-0.1750742533447841
2009-01-01,666867.0,-0.005366424794732039,-0.15441528898897605
2009-02-01,655568.0,-0.01694340850574405,-0.13151396322399445
2009-03-01,656383.0,0.0012431967393160548,-0.1388750772395535
2009-04-01,633333.0,-0.035116692540787975,-0.13979591420953763
2009-05-01,622326.0,-0.017379482831306747,-0.1495746000858179
2009-06-01,608725.0,-0.021855104880721732,-0.13554869173145878
2009-07-01,591992.0,-0.027488603228058683,-0.16323617130143975
2009-08-01,604239.0,0.020687779564588782,-0.11524630058599072
2009-09-01,583615.0,-0.03413218941511553,-0.15189373077241664
2009-10-01,592022.0,0.014405044421407887,-0.11748887212710069
2009-11-01,573283.0,-0.0316525399393941,-0.10899686515504037
2009-12-01,583005.0,0.016958465539707257,-0.13044677947394723
2010-01-01,566176.0,-0.02886596169844169,-0.1509911271662865
2010-02-01,569135.0,0.005226290058215177,-0.13184444634271353
2010-03-01,549565.0,-0.034385514860270416,-0.1627373042872835
2010-04-01,538637.0,-0.01988481799241215,-0.14952007869477824
2010-05-01,554411.0,0.029285028692793036,-0.10913090566680483
2010-06-01,542772.0,-0.020993450707146866,-0.10834613331142962
2010-07-01,542036.0,-0.0013560021519164467,-0.08438627549020927
2010-08-01,543718.0,0.0031031149222560117,-0.1001606980019496
2010-09-01,546011.0,0.004217259682408825,-0.06443288811973646
2010-10-01,527719.0,-0.03350115657010577,-0.10861589603089072
2010-11-01,534275.0,0.012423278297730489,-0.0680431828608209
2010-12-01,523829.0,-0.01955172897852231,-0.10150170238677203
2011-01-01,508253.0,-0.029734894402562717,-0.10230564347482052
2011-02-01,513442.0,0.010209482285397309,-0.09785551758370159
2011-03-01,519839.0,0.012459050876242994,-0.05409005304195136
2011-04-01,518368.0,-0.0028297222793980392,-0.03763016651288342
2011-05-01,514681.0,-0.007112707574541632,-0.07166163730517616
2011-06-01,516081.0,0.0027201314989284686,-0.04917534434348125
2011-07-01,526445.0,0.02008211889218936,-0.02876377214797543
2011-08-01,520724.0,-0.010867232094520785,-0.04229030490070218
2011-09-01,501527.0,-0.03686597890629206,-0.08147088611767894
2011-10-01,475117.0,-0.052659178867737966,-0.09967804835527994
2011-11-01,482851.0,0.016278095711161678,-0.09625005849047774
2011-12-01,483666.0,0.0016878912956586056,-0.07667196737866744
2012-01-01,485676.0,0.004155760380097018,-0.04442079043311109
2012-02-01,479393.0,-0.012936607944390888,-0.06631518263017044
2012-03-01,483495.0,0.008556653935289038,-0.06991395412810508
2012-04-01,487106.0,0.00746853638610534,-0.0603085066979443
2012-05-01,488505.0,0.0028720648072493304,-0.050858687225679544
2012-06-01,478177.0,-0.02114205586432072,-0.0734458350530246
2012-07-01,465237.0,-0.0270611091708719,-0.11626665653582047
2012-08-01,457822.0,-0.01593811326270267,-0.12079719774775122
2012-09-01,463417.0,0.012220906815312516,-0.07598793285306671
2012-10-01,469372.0,0.012850197554254539,-0.01209175845107624
