date,rentals,MoM,YoY
2012-01-01,2638.0,0.0022796352583587254,0.08693860733415737
2012-02-01,2628.0,-0.0037907505686125553,0.0792607802874743
2012-03-01,2647.0,0.007229832572298367,0.08974886784685054
2012-04-01,2674.0,0.010200226671703838,0.08434712084347118
2012-05-01,2685.0,0.004113687359760698,0.0718562874251496
2012-06-01,2721.0,0.013407821229050265,0.06957547169811318
2012-07-01,2721.0,0.0,0.06455399061032874
2012-08-01,2738.0,0.006247703050349163,0.06371406371406363
2012-09-01,2756.0,0.006574141709276837,0.0661508704061895
2012-10-01,2792.0,0.013062409288824295,0.06932209881271545
2012-11-01,2827.0,0.012535816618911122,0.07654226961157651
2012-12-01,2849.0,0.0077821011673151474,0.08244680851063824
2013-01-01,2840.0,-0.003159003159003193,0.07657316148597415
2013-02-01,2842.0,0.0007042253521127861,0.08143074581430754
2013-03-01,2858.0,0.005629838142153343,0.07971288250850028
2013-04-01,2886.0,0.009797060881735487,0.07928197456993269
2013-05-01,2895.0,0.0031185031185030354,0.07821229050279332
2013-06-01,2899.0,0.001381692573402482,0.06541712605659677
2013-07-01,2923.0,0.008278716798896246,0.07423741271591333
2013-08-01,2917.0,-0.0020526855969893454,0.06537618699780867
2013-09-01,2917.0,0.0,0.05841799709724249
2013-10-01,2916.0,-0.0003428179636613127,0.044412607449856756
2013-11-01,2907.0,-0.0030864197530864335,0.02829854969932799
2013-12-01,2899.0,-0.002751977984176146,0.017550017550017616
2014-01-01,2880.0,-0.006553984132459445,0.014084507042253502
2014-02-01,2888.0,0.002777777777777768,0.016185784658691027
2014-03-01,2886.0,-0.0006925207756233176,0.009797060881735487
2014-04-01,2907.0,0.007276507276507305,0.007276507276507305
2014-05-01,2954.0,0.016167870657034733,0.020379965457685723
2014-06-01,2979.0,0.008463100880162555,0.027595722662987265
2014-07-01,2988.0,0.0030211480362538623,0.022237427300718426
2014-08-01,3005.0,0.00568942436412323,0.03016798080219396
2014-09-01,3018.0,0.004326123128119752,0.034624614329790804
2014-10-01,3013.0,-0.0016567263088137496,0.03326474622770914
2014-11-01,3021.0,0.002655160969133652,0.03921568627450989
2014-12-01,3009.0,-0.003972194637537285,0.03794411866160741
2015-01-01,3016.0,0.0023263542705218576,0.047222222222222276
2015-02-01,3009.0,-0.0023209549071617763,0.04189750692520766
2015-03-01,3012.0,0.0009970089730808596,0.043659043659043606
2015-04-01,3027.0,0.004980079681274896,0.04127966976264186
2015-05-01,3054.0,0.008919722497522375,0.03385240352065
2015-06-01,3077.0,0.007531106745252147,0.03289694528365228
2015-07-01,3100.0,0.007474813129671798,0.03748326639892907
2015-08-01,3122.0,0.007096774193548372,0.03893510815307821
2015-09-01,3119.0,-0.0009609224855862131,0.033465871438038475
2015-10-01,3102.0,-0.00545046489259382,0.029538665781613016
2015-11-01,3103.0,0.0003223726627981094,0.027143330023171153
2015-12-01,3096.0,-0.0022558814050918086,0.02891326021934204
2016-01-01,3095.0,-0.0003229974160207094,0.026193633952254602
2016-02-01,3090.0,-0.001615508885298822,0.026919242273180544
2016-03-01,3088.0,-0.0006472491909385036,0.025232403718459473
2016-04-01,3080.0,-0.002590673575129543,0.01750908490254388
2016-05-01,3081.0,0.00032467532467528315,0.008840864440078589
2016-06-01,3087.0,0.0019474196689386325,0.003249918752031178
2016-07-01,3100.0,0.00421120829284094,0.0
2016-08-01,3102.0,0.00064516129032266,-0.006406149903907754
2016-09-01,3106.0,0.0012894906511928816,-0.004168002564924667
2016-10-01,3096.0,-0.00321957501609782,-0.0019342359767892114
2016-11-01,3077.0,-0.006136950904392813,-0.008378988076055416
2016-12-01,3047.0,-0.009749756256093645,-0.015826873385012874
2017-01-01,3040.0,-0.0022973416475221553,-0.017770597738287597
2017-02-01,3046.0,0.0019736842105262387,-0.014239482200647302
2017-03-01,3040.0,-0.001969796454366346,-0.015544041450777257
2017-04-01,3051.0,0.0036184210526315486,-0.009415584415584433
2017-05-01,3076.0,0.008194034742707412,-0.001622849724115527
2017-06-01,3083.0,0.002275682704811377,-0.0012957563977972208
2017-07-01,3091.0,0.002594875121634699,-0.002903225806451637
2017-08-01,3103.0,0.003882238757683565,0.0003223726627981094
2017-09-01,3098.0,-0.0016113438607798791,-0.0025756600128783447
2017-10-01,3082.0,-0.005164622336991553,-0.004521963824289377
2017-11-01,3054.0,-0.009085009733938998,-0.007474813129671798
2017-12-01,3043.0,-0.003601833660772713,-0.0013127666557269935
2018-01-01,3037.0,-0.0019717384160368168,-0.0009868421052631193
2018-02-01,3027.0,-0.003292723081988802,-0.006237688772160244
2018-03-01,3034.0,0.002312520647505867,-0.0019736842105263497
2018-04-01,3043.0,0.0029663810151614456,-0.002622091117666314
2018-05-01,3041.0,-0.0006572461386789019,-0.011378413524057218
2018-06-01,3054.0,0.0042749095692207195,-0.009406422315926033
2018-07-01,3059.0,0.0016371971185331624,-0.010352636687156247
2018-08-01,3052.0,-0.0022883295194507935,-0.016435707379954922
2018-09-01,3040.0,-0.003931847968545177,-0.018721755971594534
