date,sales,MoM,YoY
2008-08-01,543228.0,-0.03580918099477637,-0.1887639442677299
2008-09-01,541548.0,-0.0030926240915416514,-0.20128137624055897
2008-10-01,524434.0,-0.03160200019204207,-0.20421055187242698
2008-11-01,476896.0,-0.09064629676946956,-0.23093694565392675
2008-12-01,533639.0,0.11898401328591568,-0.13725474345874777
2009-01-01,514260.0,-0.03631481207333043,-0.18616612174749725
2009-02-01,510758.0,-0.00680978493369111,-0.1890181358585714
2009-03-01,502819.0,-0.015543564662717002,-0.16137850288035915
2009-04-01,520271.0,0.03470831452272094,-0.12862645920913796
2009-05-01,541960.0,0.041687889580622306,-0.10645804824163685
2009-06-01,507494.0,-0.06359509926931872,-0.11858513439347518
2009-07-01,533845.0,0.051923766586402964,-0.052463334416039675
2009-08-01,504100.0,-0.055718420140677516,-0.07202868777014437
2009-09-01,485984.0,-0.035937314024995004,-0.10260217007541339
2009-10-01,494633.0,0.017796882201883246,-0.056825072363729245
2009-11-01,453106.0,-0.08395517484680559,-0.0498850902502852
2009-12-01,462093.0,0.019834210979329248,-0.13407191003656027
2010-01-01,458996.0,-0.006702114076603594,-0.10746315093532455
2010-02-01,461493.0,0.005440134554549392,-0.09645468108184307
2010-03-01,439449.0,-0.047766705020444555,-0.12602944598354482
2010-04-01,450950.0,0.026171410106747395,-0.13324017675403776
2010-05-01,445818.0,-0.011380419115201268,-0.17739685585652076
2010-06-01,460575.0,0.03310095150936032,-0.09245232455950214
2010-07-01,426425.0,-0.0741464473755632,-0.2012194550852776
2010-08-01,448986.0,0.05290731078149724,-0.10933148184883956
2010-09-01,455942.0,0.015492687967999075,-0.061816849937446516
2010-10-01,465803.0,0.02162775089814062,-0.058285638038707455
2010-11-01,463813.0,-0.004272192321646662,0.023630232219392422
2010-12-01,453450.0,-0.022343056361076585,-0.018704027111425603
2011-01-01,484235.0,0.0678906163854891,0.054987407297667046
2011-02-01,475504.0,-0.018030501719206615,0.03036015714214524
2011-03-01,472263.0,-0.006815925838689063,0.07467078090973023
2011-04-01,437863.0,-0.07284076880890522,-0.02902095576006214
2011-05-01,446017.0,0.018622263127964667,0.00044637049199458545
2011-06-01,478124.0,0.07198604537495212,0.038102372034956256
2011-07-01,476965.0,-0.0024240573575056157,0.11852025561353119
2011-08-01,459851.0,-0.03588103948927068,0.02419897279647909
2011-09-01,463740.0,0.008457087186936718,0.017103052581249445
2011-10-01,432109.0,-0.0682084788890327,-0.07233530054550963
2011-11-01,419025.0,-0.030279397096565908,-0.09656477933994956
2011-12-01,483015.0,0.1527116520494003,0.06520013231888844
2012-01-01,470135.0,-0.026665838535035125,-0.02911809348766614
2012-02-01,453604.0,-0.035162240633009656,-0.046056394898886244
2012-03-01,439303.0,-0.03152749975749769,-0.06979162034713704
2012-04-01,425581.0,-0.031235844052965756,-0.0280498694797231
2012-05-01,432273.0,0.015724386192052853,-0.030814968936161646
2012-06-01,461023.0,0.06650889599859355,-0.03576687219215102
2012-07-01,457469.0,-0.007708942937771024,-0.04087511662281296
2012-08-01,456888.0,-0.0012700314119645784,-0.0064433914463597475
2012-09-01,498333.0,0.09071150916636017,0.07459567861301597
2012-10-01,505795.0,0.01497392305948031,0.17052641810283986
2012-11-01,458322.0,-0.09385818365147935,0.0937819939144442
2012-12-01,422350.0,-0.07848630438861759,-0.12559651356583124
2013-01-01,357775.0,-0.15289451876405824,-0.23899518223489002
2013-02-01,480455.0,0.34289707218223753,0.05919480427862189
2013-03-01,435450.0,-0.09367162377329818,-0.008770711786625585
2013-04-01,422047.0,-0.030779653232288484,-0.008303942140274079
2013-05-01,434747.0,0.03009143531407643,0.005723235085235423
2013-06-01,397765.0,-0.08506556686992661,-0.13721224320695502
2013-07-01,418370.0,0.051801943358515734,-0.08546808636213599
2013-08-01,370852.0,-0.11357888949972517,-0.1883087321181559
2013-09-01,390675.0,0.053452590251636733,-0.21603626490720063
2013-10-01,412848.0,0.056755615281244065,-0.18376417323223837
2013-11-01,370770.0,-0.10192128822229973,-0.19102726903792533
2013-12-01,408467.0,0.10167219570083885,-0.03287084171895349
2014-01-01,399170.0,-0.022760712615707,0.11570120886031732
2014-02-01,356413.0,-0.10711476313350199,-0.25817610390151
2014-03-01,356602.0,0.0005302836877443262,-0.1810724537834424
2014-04-01,327248.0,-0.08231585913707717,-0.22461716349126992
2014-05-01,360337.0,0.10111291742042727,-0.17115701775975456
2014-06-01,353621.0,-0.018638108215365046,-0.1109801013161037
2014-07-01,391708.0,0.1077057075230261,-0.06372827879628085
2014-08-01,393696.0,0.0050752090843178,0.061598697054350504
2014-09-01,373671.0,-0.05086411850768102,-0.04352466884238815
2014-10-01,384040.0,0.02774900915511247,-0.06977870790218188
2014-11-01,391319.0,0.018953754817206514,0.05542249912344577
2014-12-01,384360.0,-0.01778344521988451,-0.059018231582967484
2015-01-01,389055.0,0.012215110833593501,-0.0253400806673848
2015-02-01,415840.0,0.06884630707740547,0.16673634238930668
2015-03-01,389258.0,-0.06392362447095035,0.09157548190980425
2015-04-01,386633.0,-0.00674359936083524,0.1814678775729721
2015-05-01,379445.0,-0.018591273895399496,0.053028137549016696
2015-06-01,412766.0,0.08781509836735224,0.16725533834246264
2015-07-01,418472.0,0.013823813007854291,0.06832640640477083
2015-08-01,424713.0,0.01491378156722556,0.07878413801511819
2015-09-01,405495.0,-0.04524938016966751,0.08516582769334513
2015-10-01,404625.0,-0.002145525838789575,0.05360118737631492
2015-11-01,408130.0,0.00866234167438984,0.04295983583725804
2015-12-01,415482.0,0.01801386813025263,0.08097096472057452
2016-01-01,415089.0,-0.0009458893526073098,0.0669159887419517
2016-02-01,419283.0,0.010103857245072678,0.008279626779530647
2016-03-01,381739.0,-0.08954333946284487,-0.01931623755966483
2016-04-01,385103.0,0.008812303694408996,-0.003957241104613374
2016-05-01,422830.0,0.09796599870683953,0.11433804635717948
2016-06-01,435882.0,0.03086819762079318,0.05600267463889952
2016-07-01,405333.0,-0.0700854818505926,-0.03139756064921906
2016-08-01,394015.0,-0.02792272033118448,-0.07227939808764983
2016-09-01,460500.0,0.16873723081608571,0.13564902156623382
2016-10-01,431902.0,-0.062102062975027184,0.06741303676243438
2016-11-01,421853.0,-0.023266852202582955,0.03362409036336467
2016-12-01,403780.0,-0.04284193783142465,-0.028164878382216263
2017-01-01,423079.0,0.04779582941205618,0.01924888397428015
2017-02-01,457984.0,0.08250232226132703,0.0923028121817484
2017-03-01,456975.0,-0.002203133733929552,0.19708753886817965
2017-04-01,426554.0,-0.06657038131188797,0.10763613890309864
2017-05-01,419281.0,-0.017050596173051935,-0.008393444173781406
2017-06-01,431675.0,0.02956012793329532,-0.009651694724719051
2017-07-01,446697.0,0.03479932819829723,0.10204942602748845
2017-08-01,441987.0,-0.010544060067562588,0.12175170996028073
2017-09-01,441298.0,-0.0015588693785111296,-0.04169815418023892
2017-10-01,438833.0,-0.005585794633105046,0.01604762191423048
2017-11-01,490309.0,0.1173020260554698,0.16227453639063838
2017-12-01,478697.0,-0.023683024378504114,0.18553915498538798
2018-01-01,497168.0,0.038585994898652,0.17511859487235237
2018-02-01,510932.0,0.027684806745406076,0.11561102571268855
2018-03-01,475753.0,-0.06885260660909864,0.04109196345533128
2018-04-01,461773.0,-0.02938499599582134,0.08256633392255153
2018-05-01,517009.0,0.11961721451882212,0.23308473315032163
2018-06-01,497714.0,-0.037320433493420846,0.15298314704349347
2018-07-01,506335.0,0.017321192492073756,0.13350884380239858
2018-08-01,533766.0,0.05417559520870574,0.20765090375961281
2018-09-01,500938.0,-0.06150260601087365,0.13514677156932509
