date,NYC_All,NYC_All_MoM,NYC_All_YoY
2008-08-01,665952.0,-0.005951288102349572,-0.04629934610945152
2008-09-01,661441.0,-0.006773761472298356,-0.050806133358207384
2008-10-01,660403.0,-0.0015693009656190249,-0.05278776604365709
2008-11-01,649745.0,-0.016138630502889884,-0.07118780233980992
2008-12-01,636152.0,-0.02092051497125791,-0.0849867239707841
2009-01-01,622937.0,-0.02077333718985397,-0.09359339987777548
2009-02-01,609766.0,-0.021143390102048798,-0.10688010170827122
2009-03-01,603307.0,-0.010592587976371304,-0.10954413557560894
2009-04-01,592689.0,-0.017599663189719283,-0.1135080723565538
2009-05-01,591329.0,-0.00229462669291991,-0.11925450851658337
2009-06-01,582703.0,-0.014587480066088454,-0.13182305789803028
2009-07-01,578532.0,-0.0071580204666871206,-0.136440780429263
2009-08-01,575136.0,-0.005870029661280585,-0.13637018884243912
2009-09-01,574215.0,-0.001601360373894134,-0.13187268403379893
2009-10-01,572769.0,-0.0025182205271544467,-0.13269776182119097
2009-11-01,570236.0,-0.004422376211003054,-0.12236954497533648
2009-12-01,569048.0,-0.0020833479471656924,-0.10548422389617573
2010-01-01,567341.0,-0.002999746945776094,-0.0892481904269613
2010-02-01,563957.0,-0.00596466675244689,-0.07512553996123106
2010-03-01,560566.0,-0.006012869775532503,-0.07084452857334655
2010-04-01,561096.0,0.0009454729683926466,-0.05330451552163107
2010-05-01,563343.0,0.004004662303776829,-0.047327291575417374
2010-06-01,566079.0,0.00485672139353821,-0.028529113459172195
2010-07-01,558341.0,-0.013669470162291808,-0.03490040308919817
2010-08-01,557957.0,-0.0006877517502744679,-0.02986945696322263
2010-09-01,557021.0,-0.0016775486282992746,-0.029943488066316637
2010-10-01,554837.0,-0.0039208575619231745,-0.03130756029044868
2010-11-01,552131.0,-0.004877108051553836,-0.031750012275619244
2010-12-01,547319.0,-0.008715322993999575,-0.0381848279934206
2011-01-01,546073.0,-0.002276551700196805,-0.037487154991442506
2011-02-01,545911.0,-0.00029666363288427533,-0.03199889353266294
