date,rentals,MoM,YoY
2010-12-01,2311.0,0.001733853489380044,0.06057824690224867
2011-01-01,2318.0,0.0030289917784509512,0.05748175182481763
2011-02-01,2341.0,0.009922346850733454,0.05927601809954752
2011-03-01,2349.0,0.0034173430158053186,0.06049661399548523
2011-04-01,2366.0,0.007237122179651001,0.06432748538011701
2011-05-01,2385.0,0.008030431107354241,0.06378233719892945
2011-06-01,2401.0,0.006708595387840743,0.060512367491166064
2011-07-01,2422.0,0.008746355685131268,0.06134969325153383
2011-08-01,2432.0,0.004128819157720898,0.06293706293706292
2011-09-01,2445.0,0.005345394736842035,0.06350587211831238
2011-10-01,2457.0,0.004907975460122671,0.06640625
2011-11-01,2463.0,0.0024420024420024333,0.06762028608582571
2011-12-01,2461.0,-0.0008120178643929998,0.06490696668109042
2012-01-01,2477.0,0.006501422186103278,0.06859361518550466
2012-02-01,2487.0,0.004037141703673752,0.06236651003844518
2012-03-01,2502.0,0.006031363088057962,0.06513409961685834
2012-04-01,2508.0,0.0023980815347721673,0.06001690617075228
2012-05-01,2532.0,0.009569377990430672,0.06163522012578615
2012-06-01,2544.0,0.004739336492890933,0.05955851728446482
2012-07-01,2559.0,0.005896226415094352,0.05656482246077621
2012-08-01,2574.0,0.0058616647127784915,0.05838815789473695
2012-09-01,2579.0,0.0019425019425018952,0.05480572597137012
2012-10-01,2578.0,-0.0003877471888328321,0.049247049247049146
2012-11-01,2586.0,0.003103180760279267,0.04993909866017043
2012-12-01,2588.0,0.0007733952049497894,0.05160503860219423
2013-01-01,2593.0,0.0019319938176198814,0.04683084376261615
2013-02-01,2597.0,0.001542614731970593,0.044229995979091274
2013-03-01,2606.0,0.0034655371582594796,0.04156674660271786
2013-04-01,2615.0,0.003453568687643793,0.04266347687400329
2013-05-01,2629.0,0.005353728489483789,0.03830963665086884
2013-06-01,2640.0,0.004184100418409997,0.037735849056603765
2013-07-01,2659.0,0.007196969696969591,0.03907776475185609
2013-08-01,2663.0,0.00150432493418573,0.034576534576534534
2013-09-01,2675.0,0.0045061960195269535,0.037223730127956545
2013-10-01,2679.0,0.0014953271028037562,0.03917765709852605
2013-11-01,2673.0,-0.002239641657334812,0.033642691415313175
2013-12-01,2653.0,-0.007482229704451893,0.025115919629057126
2014-01-01,2652.0,-0.00037693177534869893,0.022753567296567745
2014-02-01,2654.0,0.0007541478129713397,0.021948402002310408
2014-03-01,2658.0,0.0015071590052750938,0.01995395241749809
2014-04-01,2679.0,0.007900677200902928,0.024474187380497225
2014-05-01,2707.0,0.010451661067562457,0.029669075694180203
2014-06-01,2713.0,0.0022164758034723953,0.027651515151515094
2014-07-01,2726.0,0.004791743457427167,0.025197442647611812
2014-08-01,2741.0,0.0055025678650035825,0.02929027412692453
2014-09-01,2745.0,0.0014593214155418366,0.026168224299065512
2014-10-01,2747.0,0.0007285974499089409,0.02538260544979476
2014-11-01,2747.0,0.0,0.027684249906472225
2014-12-01,2744.0,-0.0010921004732434847,0.03430079155672816
2015-01-01,2744.0,0.0,0.03469079939668185
2015-02-01,2757.0,0.004737609329446002,0.03880934438583261
2015-03-01,2769.0,0.0043525571273121955,0.04176072234762973
2015-04-01,2786.0,0.006139400505597692,0.03994027622247098
2015-05-01,2805.0,0.006819813352476611,0.03620243812338386
2015-06-01,2824.0,0.006773618538324477,0.04091411721341687
2015-07-01,2835.0,0.0038951841359773365,0.03998532648569331
2015-08-01,2855.0,0.007054673721340388,0.041590660342940566
2015-09-01,2856.0,0.00035026269702287394,0.040437158469945444
2015-10-01,2854.0,-0.0007002801120448154,0.038951583545686175
2015-11-01,2847.0,-0.0024526979677645944,0.03640334910811793
2015-12-01,2848.0,0.00035124692658938805,0.03790087463556846
2016-01-01,2848.0,0.0,0.03790087463556846
2016-02-01,2843.0,-0.0017556179775281011,0.03119332607907155
