date,rentals,MoM,YoY
2010-11-01,2657.0,0.0007532956685498693,0.054783644303294965
2010-12-01,2657.0,0.0,0.05520254169976169
2011-01-01,2684.0,0.010161836657884837,0.059194948697711025
2011-02-01,2696.0,0.0044709388971684305,0.06435057244374254
2011-03-01,2706.0,0.0037091988130564246,0.06367924528301883
2011-04-01,2732.0,0.009608277900960749,0.06802189210320564
2011-05-01,2750.0,0.0065885797950220315,0.07128944292948969
2011-06-01,2770.0,0.0072727272727273196,0.07198142414860675
2011-07-01,2794.0,0.008664259927797735,0.07172995780590719
2011-08-01,2811.0,0.006084466714388004,0.07004187285877417
2011-09-01,2824.0,0.00462468872287447,0.0676748582230624
2011-10-01,2833.0,0.0031869688385268713,0.0670433145009417
2011-11-01,2833.0,0.0,0.06624012043658256
2011-12-01,2839.0,0.002117896223085003,0.06849830636055709
2012-01-01,2842.0,0.0010567101091933928,0.058867362146050706
2012-02-01,2851.0,0.003166783954961394,0.057492581602373916
2012-03-01,2872.0,0.007365836548579363,0.061345158906134456
2012-04-01,2892.0,0.0069637883008355494,0.05856515373352855
2012-05-01,2908.0,0.0055325034578146415,0.057454545454545425
2012-06-01,2921.0,0.004470426409903805,0.05451263537906148
2012-07-01,2941.0,0.006846970215679482,0.05261274158911955
2012-08-01,2950.0,0.003060183611016676,0.04944859480611874
2012-09-01,2958.0,0.0027118644067796183,0.0474504249291785
2012-10-01,2963.0,0.0016903313049356772,0.045887751500176543
2012-11-01,2963.0,0.0,0.045887751500176543
2012-12-01,2965.0,0.0006749915626054204,0.04438182458612183
2013-01-01,2964.0,-0.0003372681281619272,0.04292751583391974
2013-02-01,2979.0,0.005060728744939347,0.044896527534198594
2013-03-01,2982.0,0.001007049345417954,0.03830083565459619
2013-04-01,2993.0,0.0036887994634473564,0.034923928077455146
2013-05-01,3013.0,0.006682258603407876,0.03610729023383774
2013-06-01,3032.0,0.006306007301692729,0.03800068469702156
2013-07-01,3044.0,0.003957783641160839,0.035022101326079635
2013-08-01,3052.0,0.0026281208935610145,0.03457627118644058
2013-09-01,3058.0,0.001965923984272644,0.03380662609871532
2013-10-01,3049.0,-0.0029431000654022155,0.029024637192035074
2013-11-01,3039.0,-0.003279763857002349,0.02564967937900775
2013-12-01,3026.0,-0.0042777229351760315,0.020573355817875116
2014-01-01,3026.0,0.0,0.020917678812415685
2014-02-01,3034.0,0.0026437541308659274,0.018462571332662048
2014-03-01,3052.0,0.005932762030323113,0.023474178403755763
2014-04-01,3073.0,0.006880733944954143,0.026729034413631725
