date,sales,MoM,YoY
2008-09-01,611061.0,0.03796077205701254,-0.00481095738703452
2008-10-01,589991.0,-0.03448100926094122,-0.034158567389749206
2008-11-01,593034.0,0.005157705795512113,-0.04843096385368173
2008-12-01,577436.0,-0.026302033272965764,-0.04991814405001849
2009-01-01,595024.0,0.030458786774638202,0.008718707671547365
2009-02-01,591202.0,-0.006423270321869401,-0.05156534503364907
2009-03-01,573541.0,-0.029873038318544265,-0.04250729962955113
2009-04-01,561348.0,-0.021259160199532334,-0.007284244703934961
2009-05-01,547967.0,-0.02383726315939494,-0.05152863673263097
2009-06-01,540351.0,-0.013898647181308399,-0.06146698162364961
2009-07-01,550529.0,0.01883590481002173,-0.05377148023251421
2009-08-01,548391.0,-0.0038835374703239944,-0.06849177782722649
2009-09-01,544357.0,-0.007356065289182312,-0.10916095119799829
2009-10-01,543520.0,-0.0015375938951827095,-0.07876560828893997
2009-11-01,534708.0,-0.016212834854283154,-0.09835186515444305
2009-12-01,540180.0,0.010233622837137357,-0.06451970434818755
2010-01-01,542928.0,0.005087193157836234,-0.08755277098066627
2010-02-01,524315.0,-0.03428263047770608,-0.11313730332441363
2010-03-01,490416.0,-0.06465388173140196,-0.14493296904667674
2010-04-01,488682.0,-0.003535773710482526,-0.12944911178092733
2010-05-01,525915.0,0.0761906515893771,-0.04024329932276949
2010-06-01,555524.0,0.05629997242900475,0.028079896215607913
2010-07-01,527463.0,-0.050512669119605946,-0.041897883671886516
2010-08-01,507709.0,-0.03745096812477844,-0.07418429551177896
2010-09-01,524624.0,0.03331632884191538,-0.03625010792549743
2010-10-01,576157.0,0.09822844551526422,0.06004746835443031
2010-11-01,546495.0,-0.051482495222656355,0.022043807087232636
2010-12-01,543325.0,-0.005800602018316781,0.005822133362953119
2011-01-01,595543.0,0.0961082225187504,0.0969097191524475
2011-02-01,554820.0,-0.06837961322692065,0.05818067383157066
2011-03-01,571699.0,0.03042247936267617,0.16574296107794195
2011-04-01,546385.0,-0.04427854517849428,0.1180788324513693
2011-05-01,537653.0,-0.015981405053213438,0.022319196067805525
2011-06-01,529767.0,-0.014667452799482228,-0.04636523354526534
2011-07-01,529741.0,-4.90781796526063e-05,0.004318786341411585
2011-08-01,538489.0,0.01651373029461567,0.06062527944156981
2011-09-01,554326.0,0.02941007151492414,0.05661578578181703
2011-10-01,526744.0,-0.049757723794301545,-0.08576308193773574
2011-11-01,536045.0,0.017657533830475636,-0.01912185838845737
2011-12-01,545418.0,0.01748547230176567,0.0038522063221828606
2012-01-01,556796.0,0.020861064357978742,-0.06506163282919952
2012-02-01,533219.0,-0.04234405419579168,-0.038933347752424186
2012-03-01,524193.0,-0.016927378806831705,-0.0830961747353065
2012-04-01,529104.0,0.009368686724164466,-0.03162788143891215
2012-05-01,516312.0,-0.02417672140070759,-0.03969288741995303
2012-06-01,521978.0,0.010973984722415953,-0.014702690050531597
2012-07-01,535453.0,0.025815264244853253,0.010782627736950712
