Area,Boro,AreaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09
All Downtown,Manhattan,submarket,2350.0,2300.0,2215.0,2275.0,2300.0,2300.0,2295.0,2300.0,2450.0,2550.0,2500.0,2425.0,2450.0,2475.0,2399.5,2450.0,2406.0,2447.5,2450.0,2486.0,2500.0,2500.0,2475.0,2450.0,2450.0,2485.5,2495.0,2500.0,2500.0,2499.5,2500.0,2500.0,2500.0,2500.0,2500.0,2595.0,2600.0,2600.0,2600.0,2600.0,2600.0,2550.0,2550.0,2600.0,2625.0,2685.0,2695.0,2688.0,2695.0,2650.0,2700.0,2750.0,2750.0,2650.0,2695.0,2700.0,2720.0,2750.0,2750.0,2750.0,2702.5,2775.0,2800.0,2800.0,2800.0,2750.0,2750.0,2800.0,2850.0,2825.0,2792.5,2820.0,2795.0,2800.0,2825.0,2850.0,2850.0,2850.0,2815.0,2800.0,2750.0,2750.0,2750.0,2720.5,2722.0,2780.0,2750.0,2750.0,2750.0,2750.0,2750.0,2725.0,2750.0,2750.0,2700.0,2695.0,2713.0,2740.0,2750.0,2750.0,2795.0,2800.0,2795.0,2800.0,2875.0
All Midtown,Manhattan,submarket,2000.0,1995.0,1975.0,2000.0,1999.0,2000.0,2050.0,2095.0,2100.0,2150.0,2150.0,2180.0,2150.0,2175.0,2200.0,2250.0,2250.0,2350.0,2300.0,2300.0,2300.0,2335.0,2335.0,2350.0,2350.0,2344.0,2343.0,2350.0,2362.5,2375.0,2395.0,2300.0,2337.5,2300.0,2350.0,2350.0,2350.0,2395.0,2400.0,2395.0,2362.5,2395.0,2395.0,2400.0,2445.0,2400.0,2350.0,2400.0,2400.0,2495.0,2450.0,2495.0,2500.0,2500.0,2495.0,2500.0,2500.0,2500.0,2550.0,2550.0,2500.0,2550.0,2550.0,2600.0,2620.0,2600.0,2600.0,2650.0,2695.0,2600.0,2595.0,2595.0,2600.0,2600.0,2600.0,2595.0,2625.0,2650.0,2650.0,2635.0,2600.0,2598.5,2587.5,2600.0,2550.0,2550.0,2595.0,2600.0,2600.0,2600.0,2595.0,2600.0,2595.0,2592.5,2464.0,2452.5,2450.0,2500.0,2500.0,2550.0,2550.0,2595.0,2595.0,2600.0,2595.0
All Upper East Side,Manhattan,submarket,1750.0,1750.0,1750.0,1780.0,1800.0,1750.0,1750.0,1700.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1655.0,1695.0,1700.0,1825.0,1850.0,1850.0,1900.0,1900.0,1875.0,1925.0,1875.0,1875.0,1850.0,1850.0,1850.0,1850.0,1850.0,1895.0,1895.0,1895.0,1850.0,1900.0,1900.0,1950.0,1925.0,1850.0,1895.0,1945.0,1900.0,1900.0,1895.0,1900.0,1935.0,1900.0,1875.0,1900.0,1912.5,1925.0,1900.0,1900.0,1900.0,1925.0,1900.0,1937.5,1900.0,1900.0,1900.0,1900.0,1950.0,2025.0,2075.0,2050.0,2050.0,2100.0,2125.0,2150.0,2100.0,2100.0,2097.5,2095.0,2148.0,2100.0,2100.0,2150.0,2149.5,2125.0,2135.0,2100.0,2095.0,2100.0,2095.0,2045.0,2100.0,2099.5,2100.0,2100.0,2100.0,2100.0,2095.0,2075.0,2025.5,2075.0,2050.0,2075.0,2095.0,2100.0,2095.0,2050.0,2050.0,2099.0,2100.0
All Upper Manhattan,Manhattan,submarket,1175.0,1150.0,1150.0,1150.0,1150.0,1195.0,1250.0,1197.5,1200.0,1215.0,1215.5,1200.0,1208.0,1100.0,1200.0,1425.0,1475.0,1550.0,1472.5,1580.0,1572.5,1550.0,1400.0,1500.0,1350.0,1500.0,1450.0,1450.0,1450.0,1500.0,1600.0,1525.0,1595.0,1500.0,1585.0,1425.0,1400.0,1400.0,1400.0,1350.0,1375.0,1400.0,1487.5,1500.0,1425.0,1425.0,1412.5,1400.0,1400.0,1450.0,1400.0,1450.0,1500.0,1550.0,1475.0,1500.0,1490.0,1492.5,1567.5,1585.0,1475.0,1500.0,1500.0,1500.0,1550.0,1595.0,1600.0,1650.0,1600.0,1650.0,1652.5,1600.0,1650.0,1600.0,1650.0,1650.0,1662.5,1650.0,1612.5,1600.0,1600.0,1656.0,1699.0,1699.0,1699.0,1650.0,1650.0,1695.0,1675.0,1675.0,1695.0,1741.0,1731.5,1700.0,1650.0,1650.0,1671.0,1675.0,1695.0,1700.0,1750.0,1775.0,1750.0,1791.0,1795.0
All Upper West Side,Manhattan,submarket,1800.0,1800.0,1795.0,1800.0,1895.0,1895.0,1800.0,1895.0,1995.0,2000.0,2000.0,1895.0,1922.5,1950.0,1950.0,1962.5,2000.0,2000.0,2000.0,2150.0,2175.0,2095.0,2050.0,2050.0,2000.0,2000.0,2000.0,2095.0,2042.5,2025.0,2150.0,2156.0,2150.0,2100.0,2156.0,2150.0,2116.5,2163.0,2150.0,2150.0,2100.0,2100.0,2100.0,2150.0,2200.0,2200.0,2150.0,2155.0,2150.0,2180.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2250.0,2200.0,2200.0,2200.0,2195.0,2200.0,2250.0,2300.0,2335.0,2328.0,2300.0,2300.0,2300.0,2300.0,2260.5,2300.0,2295.0,2300.0,2300.0,2300.0,2350.0,2399.0,2350.0,2319.0,2349.5,2350.0,2300.0,2300.0,2250.0,2299.0,2295.0,2250.0,2300.0,2300.0,2295.0,2300.0,2300.0,2275.0,2298.0,2300.0,2275.0,2299.0,2295.0,2300.0,2300.0,2295.0,2300.0,2295.0,2249.5
Alley Park,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astoria,Queens,neighborhood,1141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675.0,1400.0,1400.0,1462.5,1825.0,,1275.0,1749.5,1350.0,1575.0,1525.0,1600.0,1600.0,1650.0,1499.0,1537.5,1537.5,1500.0,1750.0,1750.0,1650.0,1697.5,1525.0,1637.5,1650.0,1600.0,1700.0,1725.0,1680.0,1550.0,1550.0,1500.0,1500.0,1550.0,1625.0,1650.0,1750.0,1850.0,1750.0,1950.0,1650.0,1550.0,1900.0,1897.0,1800.0,1675.0,1600.0,1625.0,1750.0,1795.0,1712.5,1862.5,1800.0,1850.0,1750.0,1750.0,1700.0,1825.0,1775.0,1712.5,1700.0,1675.0,1700.0,1700.0,1690.0,1650.0,1890.0,1750.0,1650.0,1750.0,1750.0,1750.0,1697.5,1700.0,1788.0,1775.0,1870.0
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,2550.0,2300.0,2300.0,2500.0,2695.0,2795.0,2795.0,2500.0,2500.0,2650.0,2595.0,2500.0,2500.0,2295.0,2312.5,2500.0,2412.5,2500.0,2442.5,2450.0,2475.0,2475.0,2475.0,2625.0,2650.0,2595.0,2610.0,2725.0,2439.0,2550.0,2545.0,2475.0,2462.5,2472.5,2487.5,2595.0,2675.0,2650.0,2595.0,2672.5,2650.0,2650.0,2650.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2700.0,2797.5,2900.0,3085.0,2800.0,2685.0,2762.5,2772.5,2850.0,2900.0,2600.0,2800.0,3100.0,2940.0,2935.0,2942.5,3050.0,2892.5,2950.0,3160.0,3000.0,2865.0,2925.0,3072.5,2995.0,3000.0,3000.0,3000.0,3100.0,3200.0,3100.0,3100.0,3100.0,3035.0,2977.0,3050.0,3050.0,2925.0,2950.0,2995.0,2960.0,2972.5,2950.0,2989.5,2915.0,2795.0,2686.0,2745.5,2870.0,3100.0,3100.0,3072.5,3090.0,3160.0,3350.0,3360.0
