date,rentals,MoM,YoY
2012-01-01,1443.0,0.017630465444287813,0.029243937232525052
2012-02-01,1430.0,-0.009009009009009028,-0.0006988120195667857
2012-03-01,1438.0,0.005594405594405494,0.0
2012-04-01,1441.0,0.0020862308762170656,-0.009621993127147732
2012-05-01,1462.0,0.014573213046495503,0.00274348422496562
2012-06-01,1461.0,-0.0006839945280437965,-0.0013670539986329056
2012-07-01,1475.0,0.00958247775496246,0.006139154160982319
2012-08-01,1503.0,0.01898305084745755,0.014170040485830038
2012-09-01,1515.0,0.007984031936127733,0.03838245373543514
2012-10-01,1508.0,-0.0046204620462045876,0.03429355281207136
2012-11-01,1520.0,0.007957559681697646,0.06591865357643756
2012-12-01,1521.0,0.0006578947368420796,0.07263751763046544
2013-01-01,1539.0,0.01183431952662728,0.06652806652806653
2013-02-01,1522.0,-0.011046133853151452,0.06433566433566429
2013-03-01,1529.0,0.0045992115637318864,0.06328233657858129
2013-04-01,1555.0,0.01700457815565737,0.07911172796668975
2013-05-01,1565.0,0.006430868167202508,0.07045143638850893
2013-06-01,1588.0,0.014696485623003186,0.08692676249144426
2013-07-01,1595.0,0.004408060453400475,0.08135593220338988
2013-08-01,1600.0,0.0031347962382444194,0.0645375914836992
2013-09-01,1602.0,0.0012499999999999734,0.05742574257425748
2013-10-01,1611.0,0.00561797752808979,0.0683023872679045
2013-11-01,1603.0,-0.004965859714463061,0.05460526315789482
2013-12-01,1601.0,-0.0012476606363068798,0.05259697567389865
2014-01-01,1593.0,-0.004996876951905094,0.03508771929824572
2014-02-01,1609.0,0.010043942247332183,0.05716162943495395
2014-03-01,1584.0,-0.015537600994406486,0.03597122302158273
2014-04-01,1596.0,0.007575757575757569,0.02636655948553046
2014-05-01,1612.0,0.010025062656641603,0.03003194888178906
2014-06-01,1637.0,0.015508684863523525,0.03085642317380355
2014-07-01,1657.0,0.01221747098350634,0.03887147335423191
2014-08-01,1659.0,0.001207000603500319,0.03687499999999999
2014-09-01,1659.0,0.0,0.035580524344569264
2014-10-01,1656.0,-0.001808318264014508,0.027932960893854775
2014-11-01,1658.0,0.0012077294685990392,0.03431066749844036
