date,sales,MoM,YoY
2009-07-01,410970.0,-0.01605315137367569,-0.11949968505354092
2009-08-01,408995.0,-0.00480570357933674,-0.10443626967965136
2009-09-01,413869.0,0.01191701610044138,-0.08339128547446195
2009-10-01,420116.0,0.015094148148327102,-0.07165096643177082
2009-11-01,418253.0,-0.004434489521941587,-0.06944462984964384
2009-12-01,417298.0,-0.0022833069936138983,-0.07064097795851831
2010-01-01,410744.0,-0.015705802567949068,-0.0763134755632715
2010-02-01,404556.0,-0.015065344837660422,-0.08239184723315363
2010-03-01,402395.0,-0.005341658509575908,-0.06785903740887533
2010-04-01,404327.0,0.004801252500652442,-0.04202216256814739
2010-05-01,400398.0,-0.009717382217858339,-0.0544296084978958
2010-06-01,409287.0,0.022200410591461495,-0.020082600107739323
2010-07-01,398668.0,-0.025945119195088018,-0.02993405844708863
2010-08-01,403449.0,0.011992434807910346,-0.013560067971491119
2010-09-01,392131.0,-0.0280531120414228,-0.05252386624753247
2010-10-01,398089.0,0.015193902037839324,-0.05243075721943469
2010-11-01,389502.0,-0.021570553318479013,-0.06874069044334408
2010-12-01,395324.0,0.01494729166987585,-0.052657812881921284
2011-01-01,396389.0,0.00269399277554605,-0.03494877587986678
2011-02-01,395866.0,-0.0013194109826458744,-0.021480338939479315
2011-03-01,392875.0,-0.007555586991557783,-0.02365834565538838
2011-04-01,385786.0,-0.01804390709513204,-0.045856447875111006
2011-05-01,389042.0,0.00843991228297547,-0.028361780028871242
2011-06-01,389464.0,0.001084715789040791,-0.04843300666769279
2011-07-01,393029.0,0.009153605981554236,-0.014144601523071842
2011-08-01,391324.0,-0.004338102277440137,-0.030053364861481913
2011-09-01,394690.0,0.008601568010139893,0.006525880381811122
2011-10-01,384982.0,-0.02459651878689606,-0.0329247982235128
2011-11-01,383340.0,-0.004265134473819598,-0.015820201179968296
2011-12-01,387037.0,0.009644180101215705,-0.02096255223563459
2012-01-01,384349.0,-0.00694507243493514,-0.030374203118653686
2012-02-01,387259.0,0.007571243843486064,-0.021742205695866823
2012-03-01,394690.0,0.019188708332149806,0.004619790009545044
2012-04-01,389313.0,-0.01362334997086323,0.009142374269672793
2012-05-01,385566.0,-0.00962464649266781,-0.008934767968497015
2012-06-01,387837.0,0.0058900421717682505,-0.004177536306308127
2012-07-01,384607.0,-0.008328240987837687,-0.021428444211495812
2012-08-01,378499.0,-0.015881146208987396,-0.03277335404933002
2012-09-01,392555.0,0.03713616152222321,-0.005409308571283744
2012-10-01,394650.0,0.0053368317815338795,0.025112862419541804
2012-11-01,389960.0,-0.011883947801849759,0.01726926488234981
2012-12-01,391086.0,0.0028874756385270928,0.01046153210158196
2013-01-01,387299.0,-0.009683292165917456,0.007675315923808768
2013-02-01,390953.0,0.009434571222750376,0.009538835766244258
2013-03-01,380728.0,-0.02615403897655222,-0.03537459778560392
2013-04-01,388255.0,0.01977001954151003,-0.0027176076832780005
2013-05-01,383896.0,-0.011227157409434474,-0.004331294771841909
2013-06-01,378723.0,-0.013475003646820971,-0.023499562960728304
2013-07-01,388699.0,0.026341151712465205,0.010639431939616362
2013-08-01,396348.0,0.019678465856614036,0.04715732406162232
2013-09-01,399195.0,0.007183081534409164,0.016914827221663264
2013-10-01,401455.0,0.005661393554528438,0.017243126821234078
2013-11-01,399060.0,-0.005965799404665573,0.02333572674120421
2013-12-01,399410.0,0.0008770610935699974,0.021284321095615732
2014-01-01,408694.0,0.023244285320848324,0.05524155755630655
2014-02-01,403636.0,-0.012376007477477025,0.032441239739815275
2014-03-01,411809.0,0.02024844166526285,0.08163570843226653
2014-04-01,405814.0,-0.014557719719578754,0.045225431739449595
2014-05-01,410079.0,0.010509740915789045,0.06820336757871925
2014-06-01,406334.0,-0.009132386686467764,0.07290552725870891
2014-07-01,409984.0,0.008982758026647941,0.05475959547104581
2014-08-01,413641.0,0.008919860287230685,0.04363084965737185
2014-09-01,405755.0,-0.01906484125122998,0.016433071556507528
2014-10-01,410043.0,0.010567953568039856,0.02139218592370251
2014-11-01,409793.0,-0.0006096921542374512,0.02689570490653037
2014-12-01,417754.0,0.019426881376695126,0.04592774342154682
2015-01-01,420861.0,0.0074373913834457905,0.02977043949752134
2015-02-01,428127.0,0.01726460755451331,0.06067595556392402
2015-03-01,424855.0,-0.007642592034606599,0.03167973502278976
2015-04-01,418201.0,-0.01566181403066924,0.03052383604311326
2015-05-01,431400.0,0.031561378380252636,0.05199242097254442
2015-06-01,431391.0,-2.086230876219286e-05,0.06166601859553955
2015-07-01,431217.0,-0.00040334638413874746,0.05178982594442716
2015-08-01,436065.0,0.011242599433695766,0.054211260489168245
2015-09-01,434274.0,-0.004107185855319773,0.07028625648482456
2015-10-01,449336.0,0.03468317237504426,0.09582653526581364
2015-11-01,447196.0,-0.004762583011376775,0.09127291095748347
2015-12-01,449946.0,0.006149428885768193,0.07705970499384796
2016-01-01,444467.0,-0.012177016797571216,0.05608977786014857
2016-02-01,458331.0,0.0311924169848381,0.07054915947837914
2016-03-01,463862.0,0.012067697799188704,0.09181250073554503
2016-04-01,466997.0,0.006758475581099654,0.1166807348619443
2016-05-01,470915.0,0.008389775523183207,0.09159712563745948
2016-06-01,467850.0,-0.006508605586995508,0.08451497597307323
2016-07-01,469297.0,0.003092871646895423,0.08830820677292417
2016-08-01,473042.0,0.007980021180616914,0.08479699127423657
