date,rentals,MoM,YoY
2012-01-01,1730.0,0.0034802784222738303,0.04784978800726836
2012-02-01,1757.0,0.015606936416185047,0.06227327690447404
2012-03-01,1745.0,-0.006829823562891302,0.06272838002436054
2012-04-01,1799.0,0.030945558739255086,0.08832425892317008
2012-05-01,1812.0,0.007226236798221208,0.07028942705256935
2012-06-01,1835.0,0.012693156732891842,0.09486873508353222
2012-07-01,1854.0,0.010354223433242549,0.0957446808510638
2012-08-01,1837.0,-0.00916936353829556,0.07931844888366624
2012-09-01,1856.0,0.010342950462710832,0.09305064782096584
2012-10-01,1873.0,0.009159482758620774,0.0978898007033997
2012-11-01,1880.0,0.0037373198077950143,0.07921928817451196
2012-12-01,1882.0,0.0010638297872340718,0.09164733178654294
2013-01-01,1922.0,0.02125398512221044,0.11098265895953752
2013-02-01,1922.0,0.0,0.09391007398975537
2013-03-01,1888.0,-0.01768990634755463,0.08194842406876801
2013-04-01,1911.0,0.012182203389830448,0.0622568093385214
2013-05-01,1954.0,0.02250130821559404,0.07836644591611486
2013-06-01,1984.0,0.01535312180143289,0.08119891008174385
2013-07-01,2018.0,0.017137096774193505,0.0884573894282632
2013-08-01,2050.0,0.015857284440039754,0.11594991834512802
2013-09-01,2068.0,0.008780487804878057,0.11422413793103448
2013-10-01,2073.0,0.0024177949709864865,0.10678056593699936
2013-11-01,2071.0,-0.0009647853352628966,0.10159574468085109
2013-12-01,2098.0,0.013037180106228785,0.11477151965993615
2014-01-01,2102.0,0.0019065776930409228,0.09365244536940698
2014-02-01,2113.0,0.005233111322549888,0.09937565036420404
2014-03-01,2102.0,-0.005205868433506899,0.11334745762711873
2014-04-01,2122.0,0.009514747859181716,0.11041339612768186
2014-05-01,2141.0,0.008953817153628751,0.09570112589559887
2014-06-01,2158.0,0.00794021485287244,0.08770161290322576
2014-07-01,2171.0,0.006024096385542244,0.07581764122893953
2014-08-01,2188.0,0.007830492860432914,0.06731707317073177
2014-09-01,2199.0,0.005027422303473417,0.06334622823984537
2014-10-01,2194.0,-0.002273760800363789,0.05836951278340563
2014-11-01,2203.0,0.004102096627164986,0.06373732496378559
2014-12-01,2200.0,-0.001361779391738538,0.04861773117254531
2015-01-01,2219.0,0.008636363636363553,0.05566127497621309
2015-02-01,2234.0,0.006759801712483027,0.05726455276857556
2015-03-01,2244.0,0.004476275738585445,0.0675547098001903
2015-04-01,2256.0,0.005347593582887722,0.06314797360980218
2015-05-01,2265.0,0.003989361702127603,0.0579168612797758
2015-06-01,2283.0,0.007947019867549754,0.05792400370713624
2015-07-01,2295.0,0.005256241787122251,0.05711653615845225
2015-08-01,2307.0,0.005228758169934622,0.05438756855575866
2015-09-01,2322.0,0.006501950585175553,0.05593451568894947
2015-10-01,2317.0,-0.0021533161068044704,0.05606198723792155
2015-11-01,2309.0,-0.0034527406128614935,0.04811620517476167
2015-12-01,2317.0,0.0034647033347769973,0.05318181818181822
2016-01-01,2310.0,-0.0030211480362537513,0.04100946372239744
2016-02-01,2320.0,0.0043290043290042934,0.038495971351835356
2016-03-01,2326.0,0.002586206896551646,0.036541889483066026
2016-04-01,2346.0,0.008598452278589797,0.039893617021276695
2016-05-01,2362.0,0.006820119352088705,0.04282560706401761
2016-06-01,2366.0,0.0016934801016088574,0.036355672360928626
2016-07-01,2371.0,0.0021132713440406015,0.03311546840958601
2016-08-01,2381.0,0.004217629692113034,0.0320762895535327
2016-09-01,2383.0,0.0008399832003360697,0.02627045650301474
2016-10-01,2370.0,-0.0054553084347460645,0.022874406560207117
2016-11-01,2371.0,0.00042194092826997043,0.02685145084452145
2016-12-01,2365.0,-0.002530577815267776,0.02071644367716874
2017-01-01,2370.0,0.0021141649048626032,0.025974025974025983
2017-02-01,2371.0,0.00042194092826997043,0.021982758620689546
2017-03-01,2372.0,0.00042176296921137,0.019776440240756754
2017-04-01,2384.0,0.005059021922428242,0.01619778346121059
2017-05-01,2396.0,0.005033557046979942,0.014394580863674955
2017-06-01,2407.0,0.0045909849749583564,0.017328825021132754
2017-07-01,2420.0,0.00540091400083087,0.0206663854913538
2017-08-01,2429.0,0.0037190082644629197,0.020159596808063895
2017-09-01,2430.0,0.0004116920543433267,0.019723038187159148
2017-10-01,2423.0,-0.0028806584362139898,0.022362869198312207
2017-11-01,2406.0,-0.0070160957490713605,0.014761703922395508
2017-12-01,2403.0,-0.0012468827930174342,0.016067653276955696
2018-01-01,2401.0,-0.0008322929671243928,0.013080168776371304
2018-02-01,2399.0,-0.0008329862557268086,0.011809363137916584
2018-03-01,2409.0,0.004168403501458862,0.015598650927487245
2018-04-01,2424.0,0.0062266500622665255,0.016778523489932917
2018-05-01,2445.0,0.00866336633663356,0.02045075125208684
2018-06-01,2461.0,0.006543967280163709,0.022434565849605237
2018-07-01,2477.0,0.006501422186103278,0.023553719008264418
2018-08-01,2482.0,0.002018570851836987,0.021819678880197646
2018-09-01,2491.0,0.003626107977437565,0.025102880658436133
