date,rentals,MoM,YoY
2012-01-01,2201.0,-0.01741071428571428,0.06431334622823992
2012-02-01,2234.0,0.014993184915947255,0.08446601941747578
2012-03-01,2223.0,-0.004923903312444078,0.08333333333333326
2012-04-01,2239.0,0.007197480881691476,0.06365795724465562
2012-05-01,2268.0,0.012952210808396591,0.07031618688060415
2012-06-01,2256.0,-0.005291005291005346,0.057665260196905876
2012-07-01,2280.0,0.010638297872340496,0.059479553903345694
2012-08-01,2286.0,0.002631578947368318,0.04335919671382937
2012-09-01,2286.0,0.0,0.04670329670329676
2012-10-01,2318.0,0.013998250218722585,0.041797752808988786
2012-11-01,2323.0,0.002157031924072461,0.04639639639639648
2012-12-01,2317.0,-0.00258286698235044,0.034375000000000044
2013-01-01,2296.0,-0.009063444108761365,0.04316219900045426
2013-02-01,2323.0,0.011759581881533032,0.03983885407341092
2013-03-01,2311.0,-0.005165733964700769,0.039586144849302674
2013-04-01,2328.0,0.007356122890523675,0.0397498883430103
2013-05-01,2349.0,0.009020618556700999,0.03571428571428581
2013-06-01,2374.0,0.010642826734780675,0.052304964539007015
2013-07-01,2404.0,0.012636899747261898,0.05438596491228065
2013-08-01,2408.0,0.0016638935108153063,0.05336832895888022
2013-09-01,2412.0,0.0016611295681063787,0.055118110236220375
2013-10-01,2430.0,0.00746268656716409,0.04831751509922344
2013-11-01,2434.0,0.0016460905349793276,0.04778303917348259
2013-12-01,2419.0,-0.006162695152013176,0.04402244281398371
2014-01-01,2420.0,0.0004133939644481721,0.05400696864111487
2014-02-01,2410.0,-0.004132231404958664,0.03745157124408083
2014-03-01,2427.0,0.007053941908713668,0.05019472090004329
2014-04-01,2445.0,0.007416563658838138,0.05025773195876293
2014-05-01,2464.0,0.007770961145194377,0.048957002979991504
2014-06-01,2472.0,0.0032467532467532756,0.04128053917438912
2014-07-01,2493.0,0.008495145631068013,0.037021630615640566
2014-08-01,2507.0,0.005615724027276281,0.04111295681063121
2014-09-01,2496.0,-0.0043877143996808865,0.03482587064676612
2014-10-01,2501.0,0.0020032051282050656,0.029218106995884785
2014-11-01,2489.0,-0.004798080767692947,0.02259654889071494
2014-12-01,2494.0,0.002008838891121023,0.03100454733360891
2015-01-01,2503.0,0.003608660785886064,0.0342975206611571
2015-02-01,2516.0,0.005193767479025224,0.04398340248962662
2015-03-01,2521.0,0.001987281399046026,0.03873094355171003
2015-04-01,2553.0,0.012693375644585503,0.04417177914110426
2015-05-01,2569.0,0.0062671367019193625,0.042613636363636465
2015-06-01,2573.0,0.0015570260801869296,0.04085760517799342
2015-07-01,2582.0,0.003497862417411568,0.035699959887685484
2015-08-01,2593.0,0.004260263361735017,0.03430394894295974
2015-09-01,2599.0,0.0023139220979560005,0.04126602564102555
2015-10-01,2596.0,-0.001154290111581413,0.03798480607756893
2015-11-01,2598.0,0.0007704160246533309,0.043792687826436305
2015-12-01,2574.0,-0.009237875288683584,0.03207698476343235
2016-01-01,2584.0,0.0038850038850037905,0.032361166600079816
2016-02-01,2594.0,0.0038699690402477227,0.031001589825119247
2016-03-01,2604.0,0.0038550501156515704,0.032923443078143544
2016-04-01,2618.0,0.005376344086021501,0.025460242851547132
2016-05-01,2615.0,-0.0011459129106188293,0.017905799922148802
2016-06-01,2628.0,0.004971319311663391,0.021375825884181854
2016-07-01,2639.0,0.004185692541856856,0.022075910147172806
2016-08-01,2649.0,0.0037893141341416303,0.021596606247589634
2016-09-01,2642.0,-0.002642506606266526,0.016544824932666513
2016-10-01,2625.0,-0.006434519303557873,0.011171032357472965
2016-11-01,2618.0,-0.002666666666666706,0.007698229407236301
2016-12-01,2625.0,0.002673796791443861,0.019813519813519864
2017-01-01,2622.0,-0.0011428571428571122,0.014705882352941124
2017-02-01,2609.0,-0.0049580472921434415,0.005782575173477245
2017-03-01,2598.0,-0.0042161747796090054,-0.0023041474654378336
2017-04-01,2613.0,0.005773672055427337,-0.0019098548510313451
2017-05-01,2626.0,0.004975124378109541,0.00420650095602304
2017-06-01,2635.0,0.0034272658035034986,0.0026636225266363223
2017-07-01,2646.0,0.004174573055028441,0.0026525198938991412
2017-08-01,2659.0,0.004913076341647837,0.0037750094375235133
2017-09-01,2656.0,-0.001128243700639353,0.005299015897047621
2017-10-01,2637.0,-0.007153614457831359,0.004571428571428671
2017-11-01,2626.0,-0.004171406901782304,0.0030557677616500634
2017-12-01,2618.0,-0.0030464584920030235,-0.002666666666666706
2018-01-01,2615.0,-0.0011459129106188293,-0.002669717772692648
2018-02-01,2622.0,0.0026768642447418944,0.004982752012265168
2018-03-01,2635.0,0.0049580472921433305,0.014241724403387224
2018-04-01,2654.0,0.007210626185958358,0.01569077688480669
2018-05-01,2681.0,0.010173323285606717,0.020944402132520912
2018-06-01,2693.0,0.0044759418127564565,0.02201138519924095
2018-07-01,2706.0,0.00482733011511316,0.0226757369614512
2018-08-01,2725.0,0.007021433850702197,0.024821361414065546
2018-09-01,2731.0,0.0022018348623853434,0.028237951807228878
