date,sales,MoM,YoY
2008-08-01,544529.0,-0.004644743817061814,-0.01591618835571873
2008-09-01,541111.0,-0.006276984329576574,-0.021472553505067937
2008-10-01,546624.0,0.010188297779937905,-0.020027070877293607
2008-11-01,543418.0,-0.005865091909612485,-0.019375445498100663
2008-12-01,534764.0,-0.015925125777946247,-0.018053749935732166
2009-01-01,542274.0,0.01404357810174206,-0.0002544191500187809
2009-02-01,533874.0,-0.01549032407970874,-0.016623718223831685
2009-03-01,520552.0,-0.02495345343657862,-0.04505145750398998
2009-04-01,508112.0,-0.02389770858626994,-0.0641315378933971
2009-05-01,508348.0,0.00046446452750581457,-0.06253307933323127
2009-06-01,503097.0,-0.010329538033000962,-0.08005624654859034
2009-07-01,501988.0,-0.002204346279147007,-0.08240627342022044
2009-08-01,496783.0,-0.0103687737555479,-0.0876831169689769
2009-09-01,494809.0,-0.003973565923149569,-0.08556839539392103
2009-10-01,496235.0,0.0028819200944203427,-0.0921821947078797
2009-11-01,495443.0,-0.0015960180156578962,-0.088283788906514
2009-12-01,499163.0,0.007508431847861319,-0.06657329214382424
2010-01-01,501888.0,0.005459138598013169,-0.07447526527179982
2010-02-01,482643.0,-0.038345208492731486,-0.09596084469369182
2010-03-01,491779.0,0.018929104949206854,-0.055274016812921656
2010-04-01,493737.0,0.003981463218234227,-0.028291006707182653
2010-05-01,487114.0,-0.013414024065443786,-0.0417705980942189
2010-06-01,483795.0,-0.006813600101824191,-0.03836635877375538
2010-07-01,494454.0,0.022032059033268325,-0.01500832689227627
2010-08-01,489230.0,-0.010565189077244797,-0.015203821386802652
2010-09-01,486001.0,-0.006600167610326446,-0.017800807988537004
2010-10-01,481265.0,-0.009744835915975525,-0.030167158705049046
2010-11-01,485210.0,0.008197147101908442,-0.020654242768592956
2010-12-01,482933.0,-0.004692813420992925,-0.0325144291544045
2011-01-01,492150.0,0.019085463200899433,-0.019402735271614402
2011-02-01,487565.0,-0.009316265366250076,0.01019801385288921
2011-03-01,491209.0,0.007473875278168007,-0.0011590572187913928
2011-04-01,481815.0,-0.019124242430411442,-0.024146458539667903
2011-05-01,492073.0,0.021290329275759357,0.010180368455843913
2011-06-01,485001.0,-0.014371851331001717,0.0024927913682448732
2011-07-01,488606.0,0.0074329743650012325,-0.011827187159978436
2011-08-01,475384.0,-0.027060658280905314,-0.0283016168264415
2011-09-01,471136.0,-0.008935933897649018,-0.03058635681819588
2011-10-01,460594.0,-0.022375704679752806,-0.042951388528149725
2011-11-01,464361.0,0.008178569412541137,-0.04296902372168754
2011-12-01,464977.0,0.0013265541249156687,-0.03718114106925807
2012-01-01,457857.0,-0.015312585353684183,-0.06967997561718986
2012-02-01,464564.0,0.01464867851752838,-0.047175248428414696
2012-03-01,458660.0,-0.012708690298860903,-0.06626303671146094
2012-04-01,461647.0,0.006512449308856194,-0.04185838963087496
2012-05-01,475464.0,0.029929794843245983,-0.03375312199612657
2012-06-01,476431.0,0.0020338027695052663,-0.017670066659656425
2012-07-01,473863.0,-0.005390077471868926,-0.030173595903447814
2012-08-01,471224.0,-0.005569120188746557,-0.008750820389411551
2012-09-01,467013.0,-0.00893630205592244,-0.008751188616450412
2012-10-01,456220.0,-0.023110705697700018,-0.00949643286712376
2012-11-01,461645.0,0.011891192845556953,-0.005848897732583014
2012-12-01,465359.0,0.008045142912844305,0.0008215460119533891
2013-01-01,463224.0,-0.004587855827436482,0.01172200053728556
2013-02-01,458737.0,-0.009686458387302865,-0.0125429434911013
2013-03-01,470165.0,0.0249118776117907,0.02508394017354898
2013-04-01,475315.0,0.01095360139525492,0.02960703741170212
2013-05-01,476341.0,0.0021585685282392575,0.0018445139905440833
2013-06-01,476026.0,-0.0006612909659257094,-0.0008500706293250726
