date,sales,MoM,YoY
2008-08-01,745301.0,-0.004313788358516035,-0.007225015818042579
2008-09-01,741490.0,-0.0051133703027367305,-0.01451729302922733
2008-10-01,759271.0,0.023980094134782748,0.013818528498294791
2008-11-01,741975.0,-0.022779745308328603,-0.005809910345687008
2008-12-01,725155.0,-0.022669227399845004,-0.006183642675357426
2009-01-01,720909.0,-0.005855299901400435,-0.03811853049722602
2009-02-01,692359.0,-0.03960277926895073,-0.08358481975041954
2009-03-01,667486.0,-0.03592500422468692,-0.10835187911268795
2009-04-01,675238.0,0.011613726729849061,-0.10527884922438457
2009-05-01,667168.0,-0.011951341601035503,-0.10703033190833233
2009-06-01,654109.0,-0.019573780517051165,-0.14030533789307387
2009-07-01,668506.0,0.02201009311903679,-0.10690820675190038
2009-08-01,620651.0,-0.07158499699329546,-0.1672478636148348
2009-09-01,646069.0,0.040953772732179594,-0.1286881819040041
2009-10-01,637106.0,-0.013873131198060884,-0.16089775587372623
2009-11-01,632828.0,-0.006714738206828996,-0.14710333906128914
2009-12-01,617070.0,-0.024900920945343796,-0.1490508925677958
2010-01-01,649433.0,0.05244623786604441,-0.09914704907276783
2010-02-01,649751.0,0.00048965790158495,-0.06154032806679777
2010-03-01,653802.0,0.006234696060490874,-0.020500804511255688
2010-04-01,677010.0,0.035496985325832675,0.0026242598905867887
2010-05-01,677163.0,0.00022599370762610427,0.014981234111947739
2010-06-01,682887.0,0.008452913109546767,0.04399572548306163
2010-07-01,675101.0,-0.01140159352865111,0.009865281687823302
2010-08-01,674960.0,-0.00020885763759792564,0.08750328284333708
2010-09-01,657116.0,-0.026437122199834073,0.017098792853394995
2010-10-01,651277.0,-0.008885797941307172,0.022242766509811496
2010-11-01,658408.0,0.010949258149758112,0.04042172596661331
2010-12-01,622476.0,-0.05457406349862093,0.008760756478195297
2011-01-01,649647.0,0.04364987565785672,0.00032951821050053454
2011-02-01,646330.0,-0.005105849792271799,-0.005265093859032177
2011-03-01,644088.0,-0.003468816239382333,-0.014857709214716408
2011-04-01,661603.0,0.027193489088447542,-0.02275741864965064
2011-05-01,660327.0,-0.0019286490538887868,-0.02486255155701067
2011-06-01,674237.0,0.021065320666881604,-0.012666810175036236
2011-07-01,667376.0,-0.010175947033461474,-0.011442732272652578
2011-08-01,677204.0,0.014726331183620545,0.0033246414602345897
2011-09-01,672993.0,-0.006218214895363894,0.02416163964962048
2011-10-01,655218.0,-0.026411864610776048,0.006051188664730978
2011-11-01,668753.0,0.020657246901031323,0.015712142015285258
2011-12-01,644571.0,-0.036159837787643534,0.03549534439882018
2012-01-01,649331.0,0.007384756683127325,-0.00048641800854920536
2012-02-01,665550.0,0.024978015834759226,0.02973713118685506
2012-03-01,663098.0,-0.0036841709864021688,0.029514600489374043
2012-04-01,652236.0,-0.016380685811147044,-0.014158037372865584
2012-05-01,652861.0,0.0009582421086846704,-0.011306519345718136
2012-06-01,662020.0,0.014029019959838296,-0.0181197412779186
2012-07-01,669111.0,0.010711156762635676,0.0025997338831482697
2012-08-01,673661.0,0.006800067552319433,-0.005231806073206946
2012-09-01,682473.0,0.013080763173168641,0.014086327792413922
2012-10-01,686757.0,0.0062771714045830596,0.0481351244929169
2012-11-01,675206.0,-0.01681963198045311,0.009649302507801938
2012-12-01,683588.0,0.012413989212181065,0.060531733509574526
2013-01-01,674133.0,-0.013831430627805008,0.038196235818095836
2013-02-01,678787.0,0.006903682211077067,0.01988881376305307
2013-03-01,679931.0,0.0016853593247956322,0.025385387981866847
2013-04-01,711550.0,0.04650324812370665,0.09093947589522822
2013-05-01,715395.0,0.005403696156278448,0.09578455444573963
2013-06-01,759642.0,0.06184974734237736,0.14746080178846555
2013-07-01,762499.0,0.0037609821468533866,0.1395702656211002
2013-08-01,771289.0,0.011527883970995356,0.14492155550046681
2013-09-01,793247.0,0.02846922489494852,0.16231264826593872
2013-10-01,782905.0,-0.013037553246340705,0.14000294136062674
2013-11-01,756088.0,-0.034253198025303244,0.11978862747072738
2013-12-01,763016.0,0.00916295457671601,0.11619279449024855
2014-01-01,778191.0,0.019888180588611526,0.15435826461543933
2014-02-01,809418.0,0.04012768073647721,0.19244770450818893
2014-03-01,811653.0,0.0027612432636783257,0.1937284812723643
2014-04-01,825431.0,0.016975234490601343,0.1600463776263088
2014-05-01,827560.0,0.0025792585933894774,0.15678750899852534
2014-06-01,831753.0,0.005066702112233479,0.09492761063764243
2014-07-01,848531.0,0.020171853903742987,0.11282900043147603
2014-08-01,863638.0,0.017803710176764298,0.11973332953017612
2014-09-01,887102.0,0.027168790627554618,0.11831749757641696
2014-10-01,885740.0,-0.0015353364100182398,0.1313505470012326
2014-11-01,880657.0,-0.0057387043601959675,0.16475463173598848
2014-12-01,874183.0,-0.007351329745860169,0.14569419252020932
2015-01-01,885252.0,0.012662108505884895,0.13757676457322177
2015-02-01,895939.0,0.012072268687334242,0.10689285387772451
2015-03-01,912174.0,0.01812065330340573,0.1238472598511926
2015-04-01,910517.0,-0.0018165393883184944,0.10308069360128225
2015-05-01,930562.0,0.02201496512420964,0.12446469138189387
2015-06-01,930947.0,0.0004137284780594275,0.11925896269685832
2015-07-01,938839.0,0.008477389153195514,0.10642863961363824
2015-08-01,952078.0,0.014101459355650992,0.10240401649765296
2015-09-01,960787.0,0.009147359775144581,0.08306260159485612
2015-10-01,959550.0,-0.0012874861962121065,0.08333145166753231
