date,sales,MoM,YoY
2009-07-01,730990.0,-0.01207554819745249,-0.14849277665044391
2009-08-01,694559.0,-0.04983789107922132,-0.18342415424859648
2009-09-01,720980.0,0.03803996492738548,-0.16383103583448733
2009-10-01,720887.0,-0.00012899109545339016,-0.1670283324089481
2009-11-01,707243.0,-0.018926683377561204,-0.18184741780507363
2009-12-01,608092.0,-0.1401936816624555,-0.23240381568865554
2010-01-01,665152.0,0.09383448557126228,-0.1612428926850613
2010-02-01,681797.0,0.02502435533532177,-0.10665777426041478
2010-03-01,679216.0,-0.0037855842721513655,-0.10101080958740383
2010-04-01,681655.0,0.0035909048078961447,-0.1028506148320415
2010-05-01,699340.0,0.0259442093140958,-0.08115898995021753
2010-06-01,707305.0,0.011389309920782464,-0.044085549211068664
2010-07-01,682955.0,-0.03442644969284825,-0.06571225324559848
2010-08-01,691256.0,0.012154534339744227,-0.004755535526859478
2010-09-01,706451.0,0.021981726017568093,-0.020151737912286083
2010-10-01,713015.0,0.009291514910446663,-0.010919880647036195
2010-11-01,719489.0,0.009079752880374103,0.017315123656225673
2010-12-01,708914.0,-0.01469793144856979,0.16580056965064505
2011-01-01,701185.0,-0.010902591851762011,0.05417258010199166
2011-02-01,713068.0,0.016947025392727966,0.04586555822334204
2011-03-01,709118.0,-0.005539443643523434,0.044024286824809744
2011-04-01,696815.0,-0.017349721767040194,0.022239989437472074
2011-05-01,708667.0,0.01700881869649762,0.013336860468441625
2011-06-01,703914.0,-0.006706958275184305,-0.004794254246753504
2011-07-01,711299.0,0.010491338430546948,0.04150200232811829
2011-08-01,743163.0,0.04479691381542783,0.07509084912102026
2011-09-01,749901.0,0.009066651595948771,0.0615046195702178
2011-10-01,763670.0,0.018361090330590413,0.0710433861840214
2011-11-01,756089.0,-0.00992706273652233,0.05086943650285125
2011-12-01,744320.0,-0.015565627855979924,0.04994399884894363
2012-01-01,777734.0,0.04489198194325028,0.10917090354186132
2012-02-01,778785.0,0.0013513617766485186,0.0921609159294765
2012-03-01,781480.0,0.0034605186283762635,0.10204507571377408
2012-04-01,785658.0,0.005346266059272242,0.1274986904702109
2012-05-01,782151.0,-0.004463774314014457,0.10369327201633483
2012-06-01,786757.0,0.005888888462713737,0.11768909270166517
2012-07-01,754881.0,-0.040515686546163554,0.06127099855335105
2012-08-01,779255.0,0.03228853289458877,0.048565388750516414
2012-09-01,777760.0,-0.0019184990792487921,0.037150237164639055
2012-10-01,799907.0,0.028475365151203524,0.047451124176673076
2012-11-01,780277.0,-0.024540352816014854,0.031990942865191885
2012-12-01,800848.0,0.026363714424492812,0.07594582975064479
2013-01-01,817153.0,0.020359668751123827,0.050684424237592784
2013-02-01,785716.0,-0.03847137561754044,0.008899760524406553
2013-03-01,794566.0,0.011263611788483452,0.016745150227772898
2013-04-01,842186.0,0.05993208871258027,0.07194988150060211
2013-05-01,866633.0,0.029028029437677683,0.10801239146916641
2013-06-01,881433.0,0.017077586475474638,0.12033702909538779
2013-07-01,901491.0,0.022756125536484317,0.1942160419986727
2013-08-01,922689.0,0.023514377847366097,0.18406554978793843
2013-09-01,950447.0,0.030083809387561722,0.22203121785640811
2013-10-01,944838.0,-0.005901433746437257,0.1811848127344804
2013-11-01,971193.0,0.027893670661002234,0.2446772107854005
2013-12-01,977135.0,0.006118248381114855,0.22012541705791855
2014-01-01,1000386.0,0.023795074375598135,0.22423340549444237
2014-02-01,1021552.0,0.021157833076432597,0.30015425420889996
2014-03-01,1012780.0,-0.008586934390026113,0.274632944273981
2014-04-01,992011.0,-0.02050692154268452,0.17790013132490912
2014-05-01,974191.0,-0.017963510485266787,0.1241102058195338
2014-06-01,968764.0,-0.005570776161964108,0.09907843250706527
2014-07-01,977535.0,0.009053804641790952,0.0843535875566146
2014-08-01,1015417.0,0.03875257663408482,0.10049756743604843
2014-09-01,1006108.0,-0.009167662152593459,0.058562970896851585
2014-10-01,1009913.0,0.0037819001538601515,0.06887424087515526
2014-11-01,1027992.0,0.01790154201401517,0.05848374113075372
2014-12-01,1045643.0,0.01717036708456865,0.07011109007455474
2015-01-01,1045539.0,-9.946033206365001e-05,0.04513557766702059
2015-02-01,1063070.0,0.01676742809211329,0.0406420818519273
2015-03-01,1060623.0,-0.0023018239626740877,0.04723928197634231
2015-04-01,1061397.0,0.0007297597732653927,0.06994478891867129
2015-05-01,1072518.0,0.010477700615321162,0.10093195276901556
2015-06-01,1082329.0,0.009147632021094365,0.1172266929819854
2015-07-01,1080786.0,-0.0014256293603885917,0.10562383955561683
2015-08-01,1081381.0,0.0005505252658712934,0.06496247354535134
2015-09-01,1082802.0,0.0013140604467805073,0.07622839695142081
2015-10-01,1101658.0,0.01741407939771067,0.09084445887913106
2015-11-01,1117989.0,0.014824019795617094,0.08754640113930856
2015-12-01,1130342.0,0.011049303705134905,0.08100183332169775
2016-01-01,1140510.0,0.008995507554350857,0.09083448824003693
2016-02-01,1127988.0,-0.010979298734776544,0.06106653371838178
2016-03-01,1142606.0,0.012959357723663745,0.07729702259898197
2016-04-01,1151273.0,0.007585291867888033,0.08467708124292805
2016-05-01,1153699.0,0.0021072326025191046,0.07569196973850323
2016-06-01,1146242.0,-0.006463557652385932,0.05905136053824678
2016-07-01,1159242.0,0.01134140958017582,0.07259161388100877
2016-08-01,1162085.0,0.0024524646277481743,0.07463049563474855
2016-09-01,1146004.0,-0.013838058317592994,0.0583689354101673
