date,sales,MoM,YoY
2008-08-01,609653.0,-0.03704282859873165,-0.2306188588000414
2008-09-01,609627.0,-4.264721079039191e-05,-0.19834126058409618
2008-10-01,614208.0,0.0075144309553218935,-0.19826131223934373
2008-11-01,613106.0,-0.001794180473064455,-0.16146238653319855
2008-12-01,590638.0,-0.03664619168626637,-0.1808447047499906
2009-01-01,571784.0,-0.03192141379322022,-0.194443505212736
2009-02-01,557206.0,-0.025495641710855832,-0.1997144740678397
2009-03-01,557302.0,0.00017228816631553734,-0.16802343200672387
2009-04-01,565705.0,0.015078000796695523,-0.1426919568030891
2009-05-01,573246.0,0.01333026930997594,-0.10999360339827224
2009-06-01,563174.0,-0.017570118238941057,-0.1056414523833723
2009-07-01,543297.0,-0.03529459811710056,-0.14185324709171465
2009-08-01,542850.0,-0.0008227544050491975,-0.10957544701658162
2009-09-01,544189.0,0.0024666114027815933,-0.10734104624631124
2009-10-01,537883.0,-0.011587885826431665,-0.12426572105866418
2009-11-01,535368.0,-0.004675738032248633,-0.12679373550413797
2009-12-01,539167.0,0.007096053555684989,-0.08714474856003174
2010-01-01,539171.0,7.418851672991167e-06,-0.057037272816308215
2010-02-01,542810.0,0.006749250237865212,-0.02583604627373004
2010-03-01,543872.0,0.001956485694810439,-0.02409824475777944
2010-04-01,536779.0,-0.013041671569781088,-0.0511326574804889
2010-05-01,547399.0,0.019784678610750506,-0.04508884492870424
2010-06-01,541142.0,-0.011430419127546831,-0.039121124199625656
2010-07-01,533835.0,-0.013502925295024282,-0.01741588854714826
2010-08-01,526674.0,-0.013414257214307779,-0.029798286819563424
2010-09-01,525205.0,-0.0027892016693438215,-0.03488493887234034
2010-10-01,515452.0,-0.018569891756552215,-0.04170237765462004
2010-11-01,512556.0,-0.00561836989671205,-0.042609943067198675
2010-12-01,498910.0,-0.026623432366414623,-0.07466517795043093
2011-01-01,499125.0,0.00043093944799665884,-0.07427328250221177
2011-02-01,498828.0,-0.0005950413223140272,-0.08102651019693818
2011-03-01,499736.0,0.0018202667051567811,-0.08115144739938807
2011-04-01,498708.0,-0.0020570861414827,-0.0709249057805913
2011-05-01,503579.0,0.00976723854439876,-0.08005129713426584
2011-06-01,503850.0,0.0005381479370665243,-0.06891351992637795
2011-07-01,495707.0,-0.01616155601865632,-0.07142281791190164
2011-08-01,499607.0,0.00786755079109236,-0.05139232238538449
2011-09-01,487898.0,-0.023436421026927112,-0.07103321560152698
2011-10-01,480414.0,-0.015339271733026183,-0.0679752915887415
2011-11-01,473341.0,-0.014722718322113804,-0.07650871319426555
2011-12-01,474287.0,0.0019985591782667456,-0.049353590828005056
2012-01-01,477768.0,0.007339437935258708,-0.04278888054094665
2012-02-01,477303.0,-0.0009732757321545549,-0.043151146286896536
2012-03-01,476838.0,-0.0009742239206541603,-0.04582019306193674
2012-04-01,479299.0,0.005161081960749714,-0.038918565573441755
2012-05-01,466791.0,-0.026096445016576264,-0.073053086010338
2012-06-01,461621.0,-0.01107562056680611,-0.08381264265158284
2012-07-01,448333.0,-0.028785518856377812,-0.09556855158389932
2012-08-01,446416.0,-0.004275839610289656,-0.10646568202607254
2012-09-01,454634.0,0.018408838392889093,-0.06817818478452464
2012-10-01,447265.0,-0.016208642556429953,-0.06900090338749498
2012-11-01,447560.0,0.0006595642404390034,-0.054466019212364825
2012-12-01,451405.0,0.008591026901421106,-0.04824504993811762
2013-01-01,456457.0,0.011191723618479976,-0.044605331457946096
2013-02-01,450534.0,-0.012976030600910904,-0.05608387125159486
2013-03-01,441848.0,-0.019279344067262394,-0.07337921893808796
2013-04-01,443710.0,0.004214118882511553,-0.07425218913454856
2013-05-01,447938.0,0.009528746253183451,-0.040388525057252656
2013-06-01,446331.0,-0.0035875500627319257,-0.03312240994235527
2013-07-01,446127.0,-0.0004570598950106586,-0.004920449754981182
2013-08-01,448746.0,0.005870525657492243,0.0052193469768109235
2013-09-01,445165.0,-0.00798001542075022,-0.020827742755711198
2013-10-01,440946.0,-0.009477384789909338,-0.014128089611304295
2013-11-01,441379.0,0.000981979652837417,-0.013810438823844806
2013-12-01,443875.0,0.005655003976174688,-0.01668125076151128
2014-01-01,452506.0,0.01944466347507734,-0.008655798903292045
2014-02-01,452485.0,-4.640822442136816e-05,0.004330416794293024
2014-03-01,448356.0,-0.009125164370089589,0.014729047093118064
2014-04-01,452408.0,0.009037461303071703,0.019602893781974773
2014-05-01,449969.0,-0.005391151350108703,0.004534109631243677
2014-06-01,453466.0,0.007771646491202766,0.015985893876965696
2014-07-01,458351.0,0.010772582729466018,0.027400269430005286
2014-08-01,453002.0,-0.011670095625404997,0.009484207101567499
2014-09-01,450260.0,-0.006052953408594242,0.011445194478451715
2014-10-01,452858.0,0.005769999555812255,0.027014645784291025
2014-11-01,448202.0,-0.010281368552614745,0.01545837024416663
2014-12-01,454161.0,0.0132953445098416,0.023173190650521036
2015-01-01,447483.0,-0.014704036674219045,-0.011100405298493321
2015-02-01,454330.0,0.015301139931572783,0.004077483231488266
2015-03-01,447658.0,-0.014685360861048102,-0.0015567986153859348
2015-04-01,439820.0,-0.017508901884921046,-0.027824441654435872
2015-05-01,438430.0,-0.003160383793370025,-0.025643988808117912
2015-06-01,437489.0,-0.0021462947334808247,-0.03523307149819388
2015-07-01,451191.0,0.03131964460820735,-0.01562121605494482
2015-08-01,444423.0,-0.015000299208095869,-0.01893810623352654
2015-09-01,450329.0,0.013289141201062948,0.00015324479189793294
2015-10-01,444405.0,-0.013154826804403053,-0.01866589526959883
2015-11-01,445004.0,0.0013478696234290322,-0.007135175657404513
2015-12-01,442609.0,-0.0053819740946148276,-0.02543591369580389
2016-01-01,437565.0,-0.011396062890722924,-0.022163970474856076
2016-02-01,437269.0,-0.000676470924319772,-0.03755199964783307
2016-03-01,428196.0,-0.020749241313699374,-0.04347515290690662
2016-04-01,443042.0,0.03467103849638953,0.00732572415988364
2016-05-01,445640.0,0.005864003864193501,0.016445042538147492
2016-06-01,440669.0,-0.011154743739341222,0.007268754185819626
2016-07-01,441872.0,0.0027299401591671657,-0.020654224042589542
2016-08-01,441816.0,-0.0001267335336929687,-0.005866033036094009
2016-09-01,439063.0,-0.006231100729715555,-0.02501726515503111
2016-10-01,450564.0,0.026194418568633582,0.013858979984473718
2016-11-01,438436.0,-0.02691737466819366,-0.014759417892872828
2016-12-01,444309.0,0.013395341623406942,0.003840861799014439
2017-01-01,453198.0,0.020006346934228203,0.03572726337801235
2017-02-01,446265.0,-0.015297949240729247,0.020573148336607394
2017-03-01,446851.0,0.001313121127581196,0.04356649758521791
2017-04-01,453543.0,0.014975909195682702,0.023702041792877493
2017-05-01,452369.0,-0.002588508697080494,0.015099631989947015
2017-06-01,461112.0,0.019327142222389293,0.04639082849031806
2017-07-01,460443.0,-0.001450840576692869,0.04202800811094609
2017-08-01,467853.0,0.016093197203562726,0.05893177250258019
2017-09-01,482513.0,0.03133462861197844,0.09896074139702038
2017-10-01,470910.0,-0.024047020494784577,0.04515673688976474
2017-11-01,477447.0,0.013881633433140195,0.08897763869755226
2017-12-01,474029.0,-0.0071589097847509775,0.06689038484478149
2018-01-01,475806.0,0.0037487157958691064,0.04988548051844899
2018-02-01,481554.0,0.012080553839169728,0.07907633356861954
2018-03-01,484680.0,0.006491483821129185,0.08465685429818892
2018-04-01,492203.0,0.015521581249484218,0.0852399882701309
2018-05-01,498532.0,0.012858515693727979,0.10204722251082643
2018-06-01,486589.0,-0.023956335801914475,0.05525121879283135
2018-07-01,484466.0,-0.004363025058108594,0.05217366753322339
2018-08-01,487218.0,0.0056804811895985186,0.04139120621220771
2018-09-01,495938.0,0.01789753252137638,0.02782308455937965
