date,rentals,MoM,YoY
2009-12-01,2564.0,-0.0023346303501945442,-0.051073279052553655
2010-01-01,2588.0,0.009360374414976613,-0.03143712574850299
2010-02-01,2596.0,0.0030911901081915882,-0.021853805576488305
2010-03-01,2591.0,-0.0019260400616333273,-0.013328255902513297
2010-04-01,2599.0,0.0030876109610189495,0.00038491147036179285
2010-05-01,2625.0,0.01000384763370521,0.013904982618771822
2010-06-01,2646.0,0.008000000000000007,0.02399380804953566
2010-07-01,2673.0,0.010204081632652962,0.02807692307692311
2010-08-01,2697.0,0.008978675645342271,0.04010798303123786
2010-09-01,2712.0,0.005561735261401468,0.04387990762124705
2010-10-01,2720.0,0.002949852507374562,0.048169556840077066
2010-11-01,2721.0,0.00036764705882363913,0.058754863813229585
2010-12-01,2729.0,0.0029400955531053707,0.06435257410296402
2011-01-01,2733.0,0.0014657383657017409,0.056027820710973675
2011-02-01,2740.0,0.0025612879619465456,0.055469953775038494
2011-03-01,2758.0,0.006569343065693456,0.06445387881126985
2011-04-01,2786.0,0.010152284263959421,0.07195075028857256
2011-05-01,2798.0,0.004307250538406304,0.06590476190476191
2011-06-01,2820.0,0.00786275911365264,0.06575963718820854
2011-07-01,2843.0,0.008156028368794255,0.06359895248784131
2011-08-01,2860.0,0.005979599015124792,0.060437523173896945
2011-09-01,2867.0,0.002447552447552459,0.05715339233038352
2011-10-01,2882.0,0.0052319497732822295,0.059558823529411775
2011-11-01,2876.0,-0.002081887578070818,0.05696435134141864
2011-12-01,2866.0,-0.003477051460361591,0.0502015390252839
2012-01-01,2871.0,0.0017445917655267706,0.05049396267837536
2012-02-01,2877.0,0.002089864158829613,0.050000000000000044
2012-03-01,2885.0,0.0027806743135210255,0.046047860768672955
2012-04-01,2913.0,0.009705372616984453,0.04558506819813357
2012-05-01,2924.0,0.00377617576381728,0.045032165832737725
2012-06-01,2941.0,0.005813953488372103,0.04290780141843964
2012-07-01,2967.0,0.008840530431825977,0.043615898698557753
2012-08-01,2984.0,0.005729693292888527,0.043356643356643465
2012-09-01,2987.0,0.00100536193029499,0.04185559818625739
2012-10-01,2982.0,-0.0016739203213926857,0.03469812630117963
2012-11-01,2974.0,-0.0026827632461435824,0.0340751043115437
2012-12-01,2967.0,-0.00235373234700742,0.035240753663642765
2013-01-01,2975.0,0.0026963262554768885,0.036224312086380994
2013-02-01,2994.0,0.006386554621848672,0.04066736183524511
2013-03-01,3009.0,0.005010020040080221,0.042980935875216675
2013-04-01,3017.0,0.002658690594881996,0.0357020254033642
2013-05-01,3039.0,0.007292011932383158,0.03932968536251713
2013-06-01,3063.0,0.007897334649555665,0.04148248894933704
2013-07-01,3079.0,0.005223636957231381,0.037748567576676884
2013-08-01,3093.0,0.0045469308216954385,0.0365281501340482
2013-09-01,3103.0,0.0032331070158422293,0.03883495145631066
2013-10-01,3097.0,-0.0019336126329358994,0.03856472166331315
2013-11-01,3102.0,0.0016144656118823875,0.04303967720242108
2013-12-01,3091.0,-0.0035460992907800915,0.041793056959892105
2014-01-01,3096.0,0.0016175994823681705,0.040672268907562925
2014-02-01,3096.0,0.0,0.03406813627254501
2014-03-01,3105.0,0.0029069767441860517,0.031904287138584175
2014-04-01,3123.0,0.005797101449275255,0.035134239310573356
2014-05-01,3150.0,0.008645533141210304,0.036525172754195534
2014-06-01,3161.0,0.0034920634920634352,0.03199477636304282
2014-07-01,3171.0,0.0031635558367604233,0.029879831113998057
2014-08-01,3179.0,0.0025228634500158442,0.02780472033624304
2014-09-01,3177.0,-0.0006291286568103072,0.02384788913954239
2014-10-01,3179.0,0.0006295247088448086,0.026477236034872398
2014-11-01,3168.0,-0.0034602076124568004,0.02127659574468077
2014-12-01,3167.0,-0.00031565656565657463,0.02458751213199606
2015-01-01,3179.0,0.003789074834227968,0.026808785529715662
2015-02-01,3183.0,0.0012582573136206143,0.0281007751937985
2015-03-01,3209.0,0.008168394596292705,0.03349436392914651
2015-04-01,3227.0,0.005609224057338658,0.033301312840217756
2015-05-01,3257.0,0.009296560272699095,0.03396825396825398
2015-06-01,3272.0,0.004605465151980459,0.03511546978804181
2015-07-01,3287.0,0.004584352078239595,0.03658152002522863
2015-08-01,3286.0,-0.00030422878004254805,0.03365838313935199
2015-09-01,3287.0,0.000304321363359783,0.03462385898646514
2015-10-01,3280.0,-0.0021296014602981694,0.03177099716892107
2015-11-01,3265.0,-0.004573170731707266,0.03061868686868685
2015-12-01,3259.0,-0.001837672281776448,0.029049573729081235
2016-01-01,3255.0,-0.001227370359005775,0.023906888958792116
2016-02-01,3267.0,0.0036866359447005337,0.02639019792648445
2016-03-01,3274.0,0.00214263850627483,0.020255531318167597
2016-04-01,3293.0,0.00580329871716545,0.02045243259993801
2016-05-01,3305.0,0.003644093531733894,0.014737488486337158
2016-06-01,3318.0,0.003933434190620311,0.014058679706601573
2016-07-01,3323.0,0.0015069318866787196,0.010952236081533284
2016-08-01,3313.0,-0.0030093289196508888,0.008216676810712142
2016-09-01,3311.0,-0.0006036824630244464,0.0073014907210222635
2016-10-01,3288.0,-0.006946541830262776,0.0024390243902439046
2016-11-01,3265.0,-0.006995133819951316,0.0
2016-12-01,3250.0,-0.004594180704441064,-0.0027615833077631047
2017-01-01,3230.0,-0.006153846153846176,-0.007680491551459334
2017-02-01,3236.0,0.0018575851393189957,-0.00948882767064585
2017-03-01,3242.0,0.001854140914709479,-0.009773976786805139
2017-04-01,3249.0,0.002159161011721089,-0.013361676283024648
2017-05-01,3270.0,0.006463527239150446,-0.010590015128593033
2017-06-01,3286.0,0.004892966360856343,-0.009644364074743783
2017-07-01,3295.0,0.002738892270237381,-0.0084261209750226
2017-08-01,3301.0,0.0018209408194234111,-0.0036220947781466784
2017-09-01,3294.0,-0.0021205695243865508,-0.0051344004832376555
2017-10-01,3271.0,-0.006982392228293888,-0.005170316301703171
2017-11-01,3246.0,-0.0076429226536227635,-0.005819295558958659
2017-12-01,3231.0,-0.004621072088724532,-0.005846153846153834
2018-01-01,3230.0,-0.0003095017022594071,0.0
2018-02-01,3249.0,0.00588235294117645,0.004017305315203945
2018-03-01,3251.0,0.000615574022776233,0.002776064157927305
2018-04-01,3271.0,0.006151953245155273,0.006771314250538563
2018-05-01,3302.0,0.00947722409049212,0.009785932721712465
2018-06-01,3319.0,0.005148394912174448,0.010042604990870396
2018-07-01,3339.0,0.006025911419102137,0.013353566009104645
2018-08-01,3355.0,0.004791853848457706,0.016358679188124725
2018-09-01,3357.0,0.0005961251862891537,0.0191256830601092
